player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Amari Burney,83811,LB,FLORIDA,8,5,6.4,0,0,163,60.7,60.8,83.1,56.7,61.1,70.9,21.1,4,0,91,92,7.7,7,10
Umstead Sanders,83816,DI,FLORIDA,2,0,,0,0,163,,47.4,69.0,58.5,52.5,,,0,0,3,3,0.0,0,0
Moses Gordon III,83820,DI,FLORIDA,1,0,,0,0,163,,60.7,64.7,,60.0,,,0,0,1,1,0.0,0,0
Fa'Najae Gotay,83821,LB,MARYLAND,8,9,2.6,0,0,215,54.5,61.4,87.4,60.9,68.2,53.5,18.2,4,0,79,79,6.3,5,9
Michael Barrett,83822,LB,MICHIGAN,4,1,4.0,0,0,222,43.5,55.8,75.2,,74.5,79.8,0.0,0,0,18,18,0.0,0,1
Alex Williams,83824,ED,OHIO STATE,5,1,1.7,0,0,260,61.2,74.5,3.9,62.8,77.7,79.4,0.0,0,1,36,36,19.4,7,7
Bryan Addison,83825,WR,OREGON,1,0,,0,0,264,,60.0,60.0,,60.0,,,0,2,1,1,0.0,0,0
Austin Ajiake,83826,LB,UNLV,4,0,1.0,0,0,325,59.8,61.2,76.8,,61.7,77.8,0.0,0,0,16,16,6.3,1,1
Christian Young,83827,S,ARIZONA,12,2,11.8,0,2,109,64.9,63.6,0.0,,73.6,61.8,11.8,2,4,153,158,0.7,1,13
Day Day Coleman,83828,LB,ARIZONA,2,1,0.0,0,0,109,67.9,64.1,74.0,62.7,53.8,69.0,50.0,2,0,18,18,5.6,1,1
Cam Phillips,83830,S,ARIZONA ST,9,5,6.1,0,0,110,71.9,73.3,89.9,56.2,74.4,74.0,14.8,4,0,213,216,2.8,6,18
Aashari Crosswell,83831,S,ARIZONA ST,13,3,5.4,0,1,110,76.8,77.0,54.1,,75.8,90.8,0.0,0,3,308,312,1.6,5,14
Ely Doyle,83832,LB,ARIZONA ST,1,0,,0,0,110,61.3,73.2,72.6,74.0,60.0,,,0,0,1,1,0.0,0,0
Armani-Eli Adams,83838,S,FAU,8,1,9.7,0,0,165,50.6,53.8,81.2,60.0,58.9,63.6,20.0,1,0,45,46,0.0,0,3
Kaelen Skipper,83839,LB,FAU,1,1,,0,0,165,,64.1,62.1,,61.2,74.3,0.0,0,0,1,1,0.0,0,0
Jacorey Crawford,83840,S,GA STATE,8,0,8.6,0,0,175,53.3,48.2,80.0,55.8,41.7,29.2,41.7,5,1,78,81,2.6,2,7
Courtney Williams,83842,S,GA STATE,6,2,5.5,0,0,175,72.1,69.4,77.2,,63.6,75.4,11.1,1,0,74,76,4.1,3,6
Tyler Glass,83845,S,LA MONROE,12,14,12.1,0,0,209,49.1,50.7,87.6,60.0,53.0,57.1,14.5,8,0,366,374,1.1,4,33
Jabari Johnson,83846,S,LA MONROE,4,1,16.0,0,0,209,30.4,36.8,72.8,,50.2,28.4,50.0,2,0,27,30,0.0,0,1
Michael Dowell,83855,LB,MICH STATE,7,0,5.0,0,0,223,60.2,54.5,79.2,57.7,37.1,69.2,50.0,1,0,16,16,0.0,0,1
Marcus Murphy,83857,S,MISS STATE,3,2,8.0,0,0,227,85.6,67.0,80.9,,35.7,29.7,40.9,9,0,101,102,4.0,4,11
Shawn Preston Jr.,83858,S,MISS STATE,5,2,10.2,0,0,227,49.8,53.6,79.2,,61.3,62.2,7.1,1,0,67,67,1.5,1,11
Patrick Peek,83861,S,NEW MEXICO,4,1,6.2,0,0,241,68.8,65.5,0.0,58.8,63.5,82.4,0.0,0,2,98,99,5.1,5,9
Alex Morris,83862,S,N TEXAS,7,2,6.0,0,0,251,66.6,62.3,79.3,,51.2,55.9,28.6,2,0,44,44,2.3,1,3
Jaxon Gibbs,83863,CB,N TEXAS,5,2,6.8,0,1,251,60.0,62.9,83.6,70.6,65.4,81.2,15.4,2,0,115,117,2.6,3,9
Josh Proctor,83864,S,OHIO STATE,11,0,13.8,0,0,260,80.4,78.3,80.3,63.2,63.6,72.3,20.0,1,0,42,43,0.0,0,4
Marcus Hooker,83865,S,OHIO STATE,7,0,6.5,0,0,260,77.6,73.6,78.6,,62.1,82.0,0.0,0,0,46,46,0.0,0,2
Owen Fankhauser,83866,S,OHIO STATE,1,0,,0,0,260,,60.0,63.7,,60.0,,,0,0,1,1,0.0,0,0
Damion Charity,83867,S,DOMINION,1,0,,0,0,263,,60.0,73.9,,60.0,,,0,0,1,1,0.0,0,0
Justinn Richardson,83871,S,DOMINION,8,3,8.5,0,1,263,52.8,57.7,81.5,57.9,64.9,54.4,17.6,3,0,112,112,1.8,2,11
Jevon Holland,83873,CB,OREGON,14,9,3.2,0,0,264,85.3,81.5,90.3,52.2,72.4,74.1,11.4,4,1,325,329,4.0,13,22
Steve Stephens IV,83874,S,OREGON,4,1,4.5,0,0,264,73.5,70.7,78.9,60.0,59.7,60.8,25.0,1,0,27,27,3.7,1,2
Rashad Scott,83879,S,S DIEGO ST,1,0,,0,0,284,63.7,64.4,70.1,,60.0,74.3,,0,0,1,1,0.0,0,0
Allan Mwata,83880,S,S DIEGO ST,1,0,,0,0,284,60.6,60.9,67.5,,60.0,,,0,0,1,1,0.0,0,0
Bobby Brown II,83885,CB,S JOSE ST,10,1,8.4,0,0,285,66.4,64.5,87.2,57.8,54.9,38.5,40.0,4,1,117,118,2.6,3,5
Tre Jenkins,83886,S,S JOSE ST,4,2,,0,0,285,51.9,60.7,75.5,,75.8,81.4,0.0,0,0,12,12,0.0,0,0
Keith Gallmon Jr.,83890,S,S ALABAMA,12,7,7.4,0,1,288,74.8,76.8,87.6,,75.9,63.2,15.9,7,0,323,328,3.1,10,30
Collin Willis,83898,S,TROY,4,1,4.0,0,0,318,53.9,61.0,81.2,64.2,74.3,50.1,0.0,0,0,27,27,3.7,1,1
Jaquez Dunmore,83899,S,TROY,12,5,8.4,0,0,318,50.7,51.5,34.6,60.0,55.2,54.2,19.2,5,2,196,204,1.5,3,16
TJ Harris,83901,CB,TROY,12,6,4.1,0,1,318,51.1,59.2,88.0,58.5,74.0,70.9,11.8,4,0,277,287,6.1,17,24
Micah Murphy,83902,S,TROY,3,1,,0,0,318,54.6,57.2,71.3,60.0,63.6,74.3,0.0,0,0,8,8,0.0,0,0
Talanoa Hufanga,83903,S,USC,10,7,6.1,0,0,326,71.1,70.2,53.1,58.7,70.2,78.3,11.8,6,1,261,267,5.4,14,38
Jordan McMillan,83904,S,USC,3,0,6.0,0,0,326,66.9,70.4,73.8,,70.4,80.1,0.0,0,0,8,8,12.5,1,2
Shaq Bond,83906,S,UTAH ST,13,10,8.2,0,0,329,75.8,73.9,88.0,79.7,66.5,58.9,11.9,8,0,490,496,3.3,16,49
