player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Terrell Lewis,42845,ED,ALABAMA,11,4,2.4,0,0,103,62.0,79.7,69.9,85.9,68.4,37.3,25.9,7,2,179,183,7.3,13,16
Jordan Parker,42850,CB,OKLAHOMA,5,0,19.0,0,0,261,60.7,62.3,77.7,,66.9,57.8,0.0,0,0,39,39,0.0,0,1
Javon Jackson,42856,S,DUKE,3,0,,0,0,154,,30.4,70.6,,26.5,19.9,100.0,2,0,13,13,0.0,0,0
Leni Toailoa,42858,LB,UCLA,11,6,3.8,0,0,324,40.9,53.1,88.7,55.0,66.9,55.3,18.2,4,0,156,159,4.5,7,12
Xavier Kelly,42863,DI,CLEMSON,9,2,5.0,0,0,140,60.0,51.1,78.7,70.4,39.7,76.3,0.0,0,0,47,48,2.1,1,2
Justus Rogers,42865,LB,WASH STATE,13,14,4.7,0,1,341,55.9,47.8,65.0,64.3,40.6,60.2,19.7,12,3,380,389,5.5,21,35
Omari Cobb,42867,LB,MARSHALL,13,18,4.0,1,1,214,76.0,71.0,61.1,60.7,66.4,76.1,6.7,5,1,386,392,8.0,31,52
Curtis Robinson,42871,LB,STANFORD,11,13,4.9,0,0,300,54.5,53.3,86.9,85.5,42.9,55.1,15.4,6,0,264,274,2.7,7,20
Parrish Gordon,42872,CB,DOMINION,1,0,,0,0,263,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Avery Williams,42873,CB,BOISE ST,14,1,6.1,0,1,120,62.3,61.8,86.7,45.7,58.5,50.1,33.3,5,6,319,325,0.9,3,9
Jovonn Quillen,42874,CB,VA TECH,7,2,20.0,0,0,337,52.1,55.5,79.5,,75.0,68.9,0.0,0,1,42,42,0.0,0,1
Charles Oliver,42876,CB,TEXAS A&M,11,1,4.8,0,0,312,74.3,73.1,4.9,55.7,72.9,88.3,0.0,0,3,204,209,1.5,3,5
D.C. Williams,42880,CB,VANDERBILT,7,0,8.4,0,0,333,47.1,51.0,82.2,56.1,70.2,79.1,0.0,0,1,101,102,1.0,1,5
Logan Latin,42882,CB,LA MONROE,11,2,7.5,0,0,209,60.1,57.0,83.3,55.3,51.0,43.4,33.3,2,1,90,94,0.0,0,2
Troy Pride Jr.,42883,CB,NOTRE DAME,13,4,15.2,0,0,258,67.7,68.5,86.4,58.3,68.9,67.7,12.5,2,4,334,335,0.9,3,10
Jarrion Street,42887,CB,UAB,1,2,7.0,0,0,321,55.3,54.7,77.8,74.1,45.4,67.9,25.0,1,1,16,16,0.0,0,1
Grant Morgan,42888,LB,ARKANSAS,12,6,2.2,0,0,111,47.8,65.7,79.4,65.0,74.8,52.4,14.8,4,0,97,100,11.3,11,17
Kristian Fulton,42894,CB,LSU,15,3,13.3,0,0,211,86.9,84.7,87.6,45.2,64.5,68.1,28.6,4,6,340,346,0.0,0,7
Jahad Woods,42896,LB,WASH STATE,13,30,4.2,0,1,341,46.1,61.8,85.9,72.0,67.3,69.3,10.1,12,0,393,402,10.4,41,77
Kylan Stribling,42902,S,MIDDLE TN,10,10,4.1,0,0,224,75.6,72.6,85.7,53.8,66.0,68.0,19.4,7,1,154,155,6.5,10,19
Lorenzo Burns,42903,CB,ARIZONA,12,3,11.3,0,0,109,77.2,75.2,86.3,59.7,61.5,78.2,7.1,1,3,330,339,0.6,2,10
Daylon Johnson,42904,S,NEVADA,5,0,15.3,0,0,239,52.4,54.3,79.6,,60.0,82.6,0.0,0,0,33,33,0.0,0,3
Noah Spears,42906,ED,SMU,1,0,,0,0,287,,60.5,68.1,,60.0,,,0,0,2,2,0.0,0,0
Joshua Bailey,42907,DI,IOWA STATE,6,0,,0,0,193,,55.0,75.1,58.1,55.2,,,0,0,10,11,0.0,0,0
Rachuan Mitchell,42909,CB,SO MISS,12,2,12.0,0,0,296,67.7,68.3,86.1,60.0,67.5,77.8,0.0,0,3,287,292,0.3,1,3
Deon Edwards,42912,ED,ARKANSAS,3,0,-0.7,0,0,111,42.9,53.3,77.3,60.0,62.7,77.4,0.0,0,0,28,28,10.7,3,3
Dicaprio Bootle,42913,CB,NEBRASKA,12,7,8.0,1,1,238,69.2,68.8,87.0,59.2,64.3,56.3,31.6,6,2,395,399,0.3,1,6
Jahsen Wint,42914,LB,OHIO STATE,7,2,1.0,0,0,260,55.6,60.6,0.0,71.3,70.0,83.2,0.0,0,1,41,41,2.4,1,1
Javonte Lain,42916,DI,GA STATE,8,1,3.0,0,0,175,,60.6,24.2,63.3,60.5,26.3,40.0,2,1,58,59,1.7,1,2
Kobe Burse,42924,LB,MIAMI OH,13,13,3.6,0,0,221,72.1,73.8,81.3,46.4,77.0,67.9,6.7,2,0,131,133,5.3,7,15
Travon Fuller,42926,CB,TEXAS A&M,6,0,-3.5,1,0,312,56.8,57.4,74.7,,60.3,79.5,0.0,0,1,14,15,14.3,2,2
P.J. Hall,42928,S,TULANE,13,5,7.9,0,0,319,71.0,75.3,21.8,61.5,88.1,90.6,2.9,1,4,324,337,2.5,8,28
Nigel Warrior,42930,S,TENNESSEE,13,6,8.1,0,0,307,88.9,90.1,90.1,79.0,85.1,90.4,3.1,1,3,369,376,2.4,9,25
Jaylon McClain-Sapp,42931,CB,MARSHALL,9,0,,0,0,214,73.5,68.5,9.9,,39.0,45.1,100.0,1,2,109,112,0.0,0,0
Chris Tooley,42936,CB,FAU,14,2,9.3,3,0,165,80.5,74.9,24.6,57.7,51.5,56.6,27.8,5,7,305,316,1.0,3,11
Kiondre Thomas,42937,CB,MINNESOTA,11,0,10.8,0,0,225,60.8,60.7,83.3,,58.0,69.2,0.0,0,2,157,163,0.6,1,9
Jamar Watson,42938,ED,KENTUCKY,13,6,2.7,0,0,202,76.2,81.6,69.7,89.5,66.6,49.9,27.6,8,1,255,260,3.9,10,15
Lawrence Stevens,42940,CB,RUTGERS,1,0,,0,0,278,,60.0,63.8,,60.0,,,0,0,1,1,0.0,0,0
Jacobi Francis,42941,CB,MEMPHIS,14,1,13.5,2,0,218,60.1,63.8,86.3,52.4,78.8,80.6,7.7,1,7,330,337,1.2,4,11
Jordan Happle,42942,S,BOISE ST,5,0,5.6,0,0,120,71.0,72.9,84.3,,74.6,58.7,15.4,2,0,120,122,5.8,7,11
Chris Brown,42952,S,TEXAS,10,4,5.3,0,0,311,75.6,66.1,14.5,57.0,49.5,40.4,30.8,8,2,215,219,2.8,6,14
Coney Durr,42953,CB,MINNESOTA,13,1,3.1,0,0,225,70.8,72.8,84.0,52.4,79.0,58.8,16.7,3,0,284,287,3.2,9,14
Noah Burks,42956,ED,WISCONSIN,14,5,1.8,0,0,349,68.5,65.3,24.3,56.5,72.8,46.2,13.8,4,5,220,223,7.3,16,20
Thomas Pickens,42970,S,MEMPHIS,14,4,5.7,1,0,218,58.4,58.1,89.0,77.5,47.1,59.7,13.8,4,4,281,285,4.3,12,21
Elias Reynolds,42976,LB,PITTSBURGH,3,1,5.0,0,0,268,65.3,64.6,80.4,64.2,57.8,57.3,20.0,1,0,32,32,3.1,1,3
Jared Dorsa,42981,LB,OHIO,10,18,3.3,0,0,259,58.6,63.8,86.3,57.5,66.7,60.9,14.3,9,0,315,318,7.9,25,36
Elijah Turner,42983,CB,CLEMSON,1,0,,0,0,140,,60.0,67.6,,60.0,,,0,0,2,2,0.0,0,0
Will Evans,42984,ED,OHIO,13,5,3.3,0,0,259,57.0,64.8,40.3,66.8,64.5,45.7,15.2,5,3,253,257,6.7,17,23
Isaac Garcia,42988,ED,OREGON ST,5,0,-7.0,0,0,265,70.6,67.2,80.6,58.8,66.8,71.9,0.0,0,0,15,15,6.7,1,1
Dylan Silcox,42991,LB,RICE,5,1,7.5,0,0,275,70.2,57.0,86.1,54.2,44.6,48.9,25.0,1,0,19,19,5.3,1,2
Khalid Kareem,42993,ED,NOTRE DAME,13,7,1.3,0,3,258,62.1,85.0,39.9,86.6,78.3,43.6,20.0,7,3,250,251,6.0,15,21
Amadeo West,42997,ED,ARMY,3,3,2.4,0,0,114,64.8,64.0,25.8,61.8,65.0,83.2,0.0,0,1,57,59,8.8,5,7
JoVanni Stewart,43001,CB,W VIRGINIA,4,5,7.0,0,0,343,69.3,70.3,83.8,59.4,70.4,66.2,0.0,0,0,99,101,1.0,1,5
Tyreic Martin,43002,DI,MIAMI FL,1,0,,0,0,220,,65.3,72.3,59.1,64.7,21.4,100.0,1,0,4,4,0.0,0,0
Myles Reid,43006,LB,MIAMI OH,13,12,2.4,0,1,221,66.4,70.5,61.1,69.6,70.8,51.7,16.9,10,1,342,347,7.6,26,37
Damon Hayes,43007,CB,RUTGERS,12,1,16.3,2,0,278,62.9,59.4,53.4,55.0,48.2,57.7,33.3,4,7,390,395,0.8,3,7
Sci Martin Jr.,43008,ED,MISSOURI,2,1,,0,0,229,60.0,63.7,75.0,59.6,63.4,29.9,50.0,1,0,15,15,0.0,0,0
James King,43009,ED,AKRON,3,0,0.7,0,0,102,71.6,68.0,80.4,53.5,65.1,61.3,25.0,1,0,32,33,9.4,3,3
Korey Charles,43011,CB,MISS STATE,1,0,,0,0,227,83.1,76.7,0.0,,60.0,78.2,,0,1,2,2,0.0,0,0
Elijah Hamilton,43012,CB,VANDERBILT,2,0,1.5,0,0,333,57.8,69.5,73.8,70.9,77.6,78.2,0.0,0,0,15,16,13.3,2,2
Tyler Gilchrist,43020,CB,AKRON,2,1,,0,0,102,32.9,35.9,79.7,,61.5,75.1,0.0,0,0,10,10,0.0,0,0
Jonathon Cooper,43021,ED,OHIO STATE,4,0,7.3,0,0,260,60.2,69.7,27.3,74.8,62.5,39.9,20.0,1,1,48,49,2.1,1,4
Marquel Dismuke,43025,S,NEBRASKA,12,10,9.6,0,0,238,73.9,73.4,87.4,54.1,70.9,67.3,11.9,7,1,379,383,3.7,14,42
Caleb Kelly,43026,LB,OKLAHOMA,4,0,2.6,0,0,261,60.4,52.6,0.0,59.9,48.4,40.0,16.7,1,1,36,38,8.3,3,5
Shawn Jennings,43027,LB,S ALABAMA,5,6,1.6,0,0,288,71.4,66.7,79.5,78.2,55.0,44.4,26.3,5,0,70,70,8.6,6,8
Tyree Rodgers,43031,S,VA TECH,5,1,13.0,0,0,337,52.1,54.3,76.3,,60.9,40.9,33.3,1,0,18,19,0.0,0,1
Ikenna Okeke,43040,LB,TEXAS A&M,1,0,,0,0,312,,64.7,66.0,,63.1,,,0,0,4,4,0.0,0,0
Gage Kreski,43047,S,C MICHIGAN,11,4,6.2,0,0,134,63.8,71.0,83.3,58.6,84.5,59.7,5.3,1,0,111,114,5.4,6,14
Brandon Jones,43049,S,TEXAS,12,6,8.7,0,0,311,76.5,74.3,90.3,64.9,62.3,68.0,21.6,8,2,324,329,2.2,7,23
Elan Nash,43051,S,NAVY,12,4,6.8,0,0,237,61.3,65.9,88.0,61.9,77.3,80.1,0.0,0,0,81,82,7.4,6,8
Drake Spears,43054,LB,W MICHIGAN,13,20,4.5,0,0,347,73.0,59.3,61.4,54.5,50.7,71.4,13.2,9,1,395,398,6.6,26,39
Jared Mayden,43058,S,ALABAMA,12,8,10.6,0,0,103,80.1,79.7,87.8,65.0,76.0,73.8,12.9,4,0,337,340,1.5,5,19
Carlo Kemp,43059,DI,MICHIGAN,12,8,2.0,1,1,222,56.0,73.6,18.6,80.9,71.5,73.6,2.6,1,5,332,340,6.3,21,30
Jamal Hicks,43062,S,COLO STATE,12,14,7.1,1,0,144,69.1,67.5,86.6,69.9,62.1,83.1,10.1,8,3,421,426,6.4,27,57
Jaron Bryant,43064,CB,FRESNO ST,12,2,6.2,0,0,169,75.2,73.5,87.1,56.2,58.0,59.4,31.3,5,1,370,380,1.1,4,9
Jestin Morrow,43067,CB,MARSHALL,3,0,,0,0,214,60.0,61.5,68.6,,60.5,,,0,0,8,8,0.0,0,0
McTelvin Agim,43069,DI,ARKANSAS,12,6,1.3,1,0,111,81.2,78.6,21.1,81.5,73.0,73.1,5.7,2,4,260,265,8.5,22,27
Brady Breeze,43073,S,OREGON,12,8,5.0,0,1,264,86.9,84.7,85.8,,75.6,71.1,18.9,7,1,201,202,4.5,9,22
Vernon Scott,43076,S,TCU,10,4,11.8,0,0,305,84.7,75.9,43.7,67.8,56.5,58.6,20.0,5,2,238,239,1.7,4,16
Tre Webb,43077,S,S JOSE ST,12,17,7.4,0,1,285,65.5,66.2,86.3,54.9,65.5,62.6,12.1,7,2,522,532,2.3,12,34
Kobe Marfo,43083,CB,RUTGERS,1,0,,0,0,278,61.5,62.0,72.6,,60.0,77.9,,0,0,6,6,0.0,0,0
Taji Stewart,43084,ED,S ALABAMA,3,1,4.8,0,0,288,66.3,71.9,86.2,68.4,70.0,65.0,16.7,1,0,58,58,1.7,1,4
Tim Hart,43085,LB,MEMPHIS,14,11,2.3,0,0,218,52.0,60.8,81.5,76.2,60.5,66.7,14.0,6,0,239,244,7.9,19,26
Moses Reynolds,43090,CB,TEXAS A&M,1,0,,0,0,312,64.2,64.1,73.5,60.0,60.0,77.0,,0,0,3,3,0.0,0,0
Brandon Hill,43098,LB,DUKE,9,13,5.3,0,0,154,71.7,72.1,37.8,72.5,67.6,50.3,24.4,10,1,169,170,7.1,12,18
D.J. Morgan,43099,LB,UCONN,10,12,3.5,0,0,146,67.2,54.6,87.2,75.4,40.0,52.3,12.5,6,0,270,277,5.9,16,30
Travis Whillock,43100,S,NWESTERN,11,16,5.8,1,0,256,61.4,70.2,87.0,66.4,81.9,82.3,8.1,5,1,324,327,6.2,20,41
Kevin Meitzenheimer,43102,LB,UTAH ST,13,15,4.2,0,0,329,49.2,48.6,66.5,55.3,50.2,65.4,8.1,6,1,538,544,6.1,33,53
Shane Simmons,43103,ED,PENN STATE,13,5,0.8,0,0,266,67.1,66.1,84.9,56.9,69.4,82.8,0.0,0,0,100,101,6.0,6,8
DJ Daniels,43105,S,S ALABAMA,12,5,7.5,0,0,288,50.7,55.5,88.7,60.0,64.2,59.3,12.8,5,1,349,353,3.2,11,29
Donta Evans,43108,LB,OLE MISS,12,2,5.0,0,0,226,46.9,52.0,82.6,67.2,55.8,55.7,0.0,0,0,110,112,0.9,1,5
Devin Gil,43111,LB,MICHIGAN,5,1,4.0,0,0,222,64.8,77.0,74.7,69.2,78.8,83.0,0.0,0,0,33,33,12.1,4,5
Brock Miller,43112,LB,NC STATE,12,6,3.0,0,0,248,38.9,45.7,86.2,51.8,52.7,40.2,22.6,7,1,169,173,7.1,12,18
Martin Mangram,43114,S,UMASS,12,13,8.4,0,0,216,50.8,51.7,86.3,66.2,51.5,55.3,21.8,12,0,324,326,3.1,10,30
Chanse Sylvie,43115,CB,OKLAHOMA,4,0,5.0,0,0,261,46.7,46.2,79.7,53.9,51.7,79.6,0.0,0,0,17,17,5.9,1,1
Marquill Osborne,43116,CB,CHARLOTTE,13,7,12.5,1,1,136,69.6,74.8,85.5,61.0,88.5,59.0,5.6,2,4,392,395,2.0,8,27
Benny Walls,43119,S,TEMPLE,9,10,7.8,0,0,306,88.0,74.4,84.8,66.7,50.1,56.3,20.8,10,1,231,234,3.9,9,28
Alijah Halliburton,43139,S,WYOMING,13,24,4.5,0,0,351,56.2,69.9,63.1,72.9,83.8,87.1,6.5,6,2,400,405,9.3,37,62
Evan Jones,43140,CB,GA STATE,11,1,10.9,1,0,175,50.9,59.3,81.8,92.6,72.5,73.4,0.0,0,2,166,168,0.0,0,7
Sean Mahone,43146,S,W VIRGINIA,12,10,6.4,0,1,343,73.1,75.4,87.7,64.1,76.5,75.3,12.1,7,0,369,379,3.8,14,41
Keyvone Bruton,43150,S,TEMPLE,8,1,7.0,1,0,306,61.5,62.6,78.9,59.7,64.0,81.5,0.0,0,1,47,47,0.0,0,1
Tuf Borland,43158,LB,OHIO STATE,14,8,2.7,0,0,260,66.3,74.7,38.5,65.2,78.5,70.2,11.1,5,1,203,207,10.3,21,32
Brennan Thieneman,43166,S,PURDUE,12,7,9.5,0,1,273,55.9,58.9,85.0,57.4,62.7,64.1,14.3,5,0,246,250,2.4,6,23
Tristan Cooper,43171,S,ARIZONA,12,5,4.4,0,0,109,66.4,63.1,88.1,69.1,55.2,86.1,6.5,2,0,308,315,3.6,11,24
Ka'Darian Smith,43174,CB,HOUSTON,4,0,15.0,0,0,182,54.8,55.2,80.2,,58.1,46.5,50.0,1,0,48,49,0.0,0,1
Jack King,43178,ED,ARMY,4,1,,0,0,114,54.2,64.9,78.8,63.3,71.5,77.4,0.0,0,0,16,16,0.0,0,0
Justin Clark,43185,CB,TOLEDO,2,1,,0,0,316,50.3,52.9,73.6,,64.7,73.5,0.0,0,0,11,11,0.0,0,0
Nolan Turner,43187,S,CLEMSON,15,4,6.9,0,1,140,73.9,71.5,86.7,51.1,65.0,50.1,24.2,8,0,215,224,3.7,8,21
Ryan McWood,43189,LB,MIAMI OH,13,22,4.7,0,0,221,37.7,53.1,83.6,64.6,62.3,56.7,9.9,7,1,360,362,5.3,19,42
Amir Tyler,43191,S,TEMPLE,11,6,6.1,0,2,306,71.3,71.3,87.2,67.4,67.2,51.7,25.0,10,3,247,248,3.2,8,24
Akeam Peters,43193,S,KENT STATE,11,4,6.9,1,2,201,70.4,65.7,35.5,56.1,58.5,73.1,18.5,5,2,218,223,3.2,7,18
Isaiah Hayes,43194,S,LOUISVILLE,10,3,5.9,0,0,210,46.4,47.5,81.7,66.1,47.9,27.8,33.3,5,0,111,114,2.7,3,7
Quincy Lenton,43195,S,FLORIDA,4,0,,0,0,163,51.9,52.8,74.6,,56.8,27.4,100.0,1,0,19,19,0.0,0,0
Richie Grant,43196,S,UCF,12,9,9.0,0,0,323,64.0,69.2,58.4,54.5,79.4,67.3,7.4,4,1,409,418,3.7,15,41
Korel Smith,43201,CB,FAU,5,0,11.7,0,0,165,57.1,54.5,0.0,59.9,57.2,48.5,0.0,0,1,36,36,2.8,1,3
Jordan Griffin,43205,S,KENTUCKY,11,5,9.5,1,0,202,67.7,62.8,87.7,65.4,43.8,40.9,38.1,8,1,247,252,1.2,3,8
Max McDonald,43210,LB,COLO STATE,12,3,2.1,0,0,144,52.4,50.6,81.1,56.7,51.4,76.5,8.3,1,0,123,126,4.9,6,8
Chima Azunna,43211,S,IOWA STATE,11,2,5.7,0,1,193,80.1,74.9,81.5,74.7,54.5,49.7,31.8,7,0,67,68,9.0,6,13
John Lamot,43215,LB,BOSTON COL,12,11,2.4,0,0,121,48.4,51.0,86.8,70.5,48.0,39.9,19.0,11,0,338,343,6.8,23,36
Daniel Bituli,43219,LB,TENNESSEE,11,16,3.3,1,0,307,56.6,62.2,0.0,76.4,68.0,71.7,10.6,7,7,268,274,11.2,30,43
Kaiden Smith,43224,S,APP STATE,9,0,19.0,0,0,108,68.2,67.6,82.8,,62.4,61.6,33.3,1,2,67,67,0.0,0,2
Chase Pine,43225,LB,PITTSBURGH,11,5,1.4,0,0,268,76.4,66.0,78.5,62.0,54.2,49.8,23.8,5,0,91,92,8.8,8,11
Gil Barksdale,43230,S,VANDERBILT,2,0,11.0,0,0,333,62.3,58.2,75.5,,51.8,28.6,0.0,0,0,15,15,0.0,0,1
Lawrence Garner,43233,LB,DOMINION,12,7,3.6,0,1,263,63.2,59.8,30.1,63.5,58.0,59.9,12.2,10,2,371,375,11.9,44,65
Corey Hightower,43234,S,NEW MEXICO,1,0,,0,0,241,43.6,39.4,67.3,,60.0,,,0,0,3,3,0.0,0,0
Andrew Wright,43235,ED,FRESNO ST,7,2,5.8,0,0,169,61.8,37.6,0.0,56.0,28.9,26.9,45.5,5,2,75,78,2.7,2,4
Walter Little,43236,LB,NAVY,7,1,3.6,0,0,237,68.9,63.2,81.8,77.4,48.7,29.0,38.5,5,0,68,68,7.4,5,7
Eric Monroe,43239,S,LSU,5,0,2.0,0,0,211,47.1,51.9,79.2,58.6,68.3,80.4,0.0,0,0,23,23,4.3,1,1
Chris Henderson,43249,ED,S ALABAMA,12,5,7.2,0,0,288,61.7,59.2,89.3,60.0,55.0,54.4,21.1,4,0,192,195,2.6,5,10
Joe Bachie,43250,LB,MICH STATE,8,10,3.7,0,0,223,74.0,79.9,84.9,65.7,79.1,67.7,14.3,7,0,227,232,9.7,22,32
C.J. Pollard,43251,S,USC,7,2,3.2,0,0,326,39.9,47.9,0.0,71.8,68.9,66.1,12.5,1,1,32,33,9.4,3,5
Cam Jones,43257,S,ARMY,4,1,6.7,0,0,114,51.6,58.5,82.9,,72.9,40.9,13.3,2,1,103,106,3.9,4,12
DeMarkus Glover,43258,LB,AKRON,10,5,5.2,0,0,102,62.5,55.5,77.3,52.9,51.5,70.0,13.6,3,0,156,158,3.2,5,14
Braxton Gunther,43264,S,UTAH ST,2,0,,0,0,329,65.4,65.7,73.3,,60.6,75.1,,0,0,7,7,0.0,0,0
Simeon Smiley,43267,CB,PURDUE,12,3,6.4,0,0,273,72.0,71.5,89.0,72.8,64.2,51.6,14.3,2,2,264,268,0.8,2,9
Jeffrey McCulloch,43269,LB,TEXAS,10,3,4.3,0,0,311,58.5,57.3,42.7,59.8,56.8,69.5,5.0,1,1,129,132,7.8,10,16
Anthony Ekpe,43280,ED,RICE,8,3,2.0,1,0,275,53.3,67.6,57.8,70.1,68.6,59.1,23.1,3,1,141,143,2.8,4,7
Josh Perry,43283,CB,MEMPHIS,4,0,,0,0,218,66.8,60.8,73.9,58.0,50.1,28.4,100.0,1,0,12,12,0.0,0,0
Treyvon Reeves,43286,LB,TULSA,8,1,8.0,0,0,320,62.7,63.8,0.0,47.8,73.4,54.1,0.0,0,1,51,52,5.9,3,5
Donte Vaughn,43287,CB,NOTRE DAME,10,3,3.3,0,0,258,73.1,70.0,82.5,,53.5,67.8,12.5,1,1,158,158,1.3,2,4
Jamel Cook,43290,S,S CAROLINA,1,0,,0,0,289,37.5,34.7,75.3,,49.5,27.7,100.0,1,0,5,5,0.0,0,0
Damar Hamlin,43291,CB,PITTSBURGH,12,5,8.4,0,0,268,65.4,67.1,0.0,72.4,76.4,66.8,9.7,3,8,303,312,2.6,8,23
Isaiah Stallings,43293,LB,NC STATE,3,0,,0,0,248,65.9,68.5,76.0,,66.3,75.1,,0,0,18,18,0.0,0,0
Sion Harrington,43296,LB,NAVY,5,5,5.0,0,0,237,71.9,73.6,73.4,65.1,67.7,70.6,0.0,0,0,27,27,0.0,0,1
Braden Smith,43298,S,WYOMING,10,0,,0,0,351,52.6,53.6,83.9,54.9,58.7,40.3,,0,0,75,75,0.0,0,0
Micahh Smith,43299,CB,ARKANSAS,8,3,9.3,0,0,111,52.8,59.9,84.2,58.6,77.1,69.3,7.1,1,0,112,114,3.6,4,10
Osman Kamara,43300,S,W VIRGINIA,1,0,9.0,0,0,343,,56.0,60.0,,60.0,,0.0,0,0,1,1,0.0,0,1
Eli Sullivan,43304,S,NEBRASKA,8,1,0.5,0,0,238,63.4,46.9,85.7,,25.9,24.8,62.5,5,0,46,46,4.3,2,2
Larry Bryant,43306,ED,TULANE,9,0,16.0,0,0,319,69.1,64.5,83.7,67.7,56.2,27.4,40.0,2,0,94,99,1.1,1,3
Garrett Crall,43309,ED,WYOMING,13,8,2.7,0,0,351,63.8,71.7,76.1,66.6,70.8,55.4,16.3,7,1,302,304,6.0,18,28
Jarrius Wallace,43310,S,ARIZONA,8,2,6.0,0,0,109,50.8,57.5,82.2,,70.9,78.6,0.0,0,0,85,86,2.4,2,6
Keelen Roberts,43318,CB,FAU,1,0,,0,0,165,,60.0,63.8,,60.0,,,0,0,1,1,0.0,0,0
Denzel Polk,43319,ED,NAVY,10,3,1.3,0,0,237,60.2,70.0,82.2,52.5,78.1,81.8,0.0,0,0,105,106,10.5,11,12
Qwuantrezz Knight,43322,S,KENT STATE,11,13,4.2,0,1,201,52.7,66.5,89.4,66.8,88.1,78.2,8.6,5,2,344,348,7.3,25,40
James Jennette III,43327,ED,BALL ST,12,4,1.8,1,0,117,67.3,69.8,44.0,65.2,70.8,58.1,16.7,6,3,325,327,6.5,21,26
Jordan Helm,43329,S,FAU,10,1,5.0,0,0,165,66.9,72.2,81.7,,82.8,83.9,10.0,1,0,75,76,8.0,6,8
Bryan Mead,43333,LB,OKLAHOMA,8,2,1.3,0,0,261,28.8,44.7,0.0,53.3,79.6,50.8,11.1,1,1,34,34,17.6,6,6
Trent Ellis-Brewer,43334,LB,ARK STATE,3,1,,0,0,113,73.1,69.2,72.4,,53.1,43.5,50.0,1,0,5,5,0.0,0,0
Myles Bryant,43336,S,WASHINGTON,13,10,9.3,0,0,340,88.4,85.8,90.3,70.8,71.9,77.2,15.9,7,1,359,373,1.9,7,27
La'Mar Winston Jr.,43339,ED,OREGON,13,4,2.7,1,0,264,50.9,64.4,14.9,71.0,63.6,49.5,26.7,4,3,110,112,5.5,6,7
Roderick Campbell,43340,CB,NWESTERN,6,0,3.3,1,0,256,52.0,57.9,75.9,,73.2,82.2,0.0,0,1,39,39,7.7,3,3
Tyrique McGhee,43341,CB,GEORGIA,6,0,5.0,0,0,173,70.1,68.2,79.8,59.1,57.6,60.0,0.0,0,0,41,41,0.0,0,2
Obi Eboh,43343,CB,STANFORD,9,1,13.0,0,0,300,55.4,55.9,82.9,60.0,58.1,56.8,14.3,1,2,132,138,0.8,1,5
Zeke Brown,43346,CB,BAYLOR,3,0,,0,0,118,79.7,73.1,72.8,,45.3,28.1,100.0,1,0,9,9,0.0,0,0
DaMarcus Fields,43347,CB,TEXAS TECH,10,2,8.5,0,0,315,68.1,69.0,46.3,59.0,74.0,73.2,0.0,0,1,242,247,1.7,4,16
Andrew Pryts,43351,LB,STANFORD,12,13,3.7,0,0,300,58.5,57.7,85.1,60.3,55.5,70.6,20.0,10,1,270,279,6.3,17,27
Mandela Lawrence-Burke,43352,LB,KENT STATE,12,14,5.6,0,1,201,49.3,44.4,83.7,67.4,41.0,67.0,13.1,11,0,359,364,8.9,32,59
J.J. Parson,43353,CB,STANFORD,9,2,6.3,0,0,300,57.4,58.8,85.7,54.2,65.0,35.9,28.6,2,1,86,89,2.3,2,3
Jaydon Grant,43354,CB,OREGON ST,12,4,6.2,0,0,265,65.8,63.9,88.9,57.5,55.3,52.0,28.6,4,0,227,232,0.9,2,6
Brian Bullock,43355,S,NWESTERN,7,1,3.7,0,0,256,42.1,52.6,74.9,,63.4,56.8,20.0,1,0,24,24,4.2,1,3
Donovan Duvernay,43357,CB,TEXAS,2,0,,0,0,311,43.1,43.8,72.9,,60.3,76.6,,0,0,7,7,0.0,0,0
Cameron Lewis,43359,S,LSU,12,0,8.0,0,0,211,64.4,65.8,83.7,65.8,66.6,56.8,25.0,1,0,76,76,2.6,2,3
C.J. Morgan,43360,S,MISS STATE,9,5,10.0,0,1,227,41.1,43.1,38.4,56.4,50.4,39.0,26.7,8,1,230,233,3.0,7,17
Trey Baldwin,43361,LB,LA TECH,12,3,2.5,0,0,208,75.4,69.6,81.9,70.4,59.0,50.9,25.0,8,0,139,140,9.4,13,21
Eric Burrell,43369,S,WISCONSIN,14,6,9.4,0,0,349,88.9,78.4,45.5,62.9,59.5,38.5,28.9,11,1,257,260,3.9,10,21
Reggie Cleveland,43376,LB,LA TECH,2,1,,0,0,208,63.3,71.0,70.3,,67.8,73.1,0.0,0,0,3,3,0.0,0,0
Dylan Conner,43381,LB,OHIO,13,14,4.9,0,0,259,60.4,61.3,60.4,66.0,60.9,47.7,19.7,14,1,390,394,7.7,30,43
Tyshaun Ingram,43391,ED,UMASS,9,2,1.4,0,0,216,63.1,54.7,32.1,54.5,55.1,45.6,22.2,2,1,134,135,3.0,4,5
