player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
AJ Pierce,82510,DI,TROY,5,0,0,,0,0,318,0,0,,80.3,73.9,56.2,85.0,75.0,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,25,25,2,20,0,3,0,0,11,14,0,3,4,1,0,0,0,0,0,
Savien Jenkins,82513,DI,UTEP,2,0,0,,0,0,330,0,0,,59.6,67.0,59.5,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
Brandon Matterson,82515,DI,UTSA,9,5,0,,0,0,331,1,0,61.2,69.5,8.2,53.6,78.4,44.0,0,3,0,0,,18.8,3,0,2,0.0,0,0,0,2,0,0,176,174,19,153,0,2,0,2,73,103,0,6,8,2,0,3,0,0,0,
Kevin Nelson,82516,DI,UTSA,12,2,1,,1,0,331,1,0,,63.1,42.7,66.2,61.6,28.4,0,2,0,0,,30.0,3,0,1,0.0,0,0,0,0,0,0,201,200,30,163,0,7,0,1,84,117,0,5,5,0,0,2,0,0,0,
John Chenal,82534,FB,WISCONSIN,4,0,0,,0,0,349,0,0,,68.3,60.0,60.0,69.9,68.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,1,0,0,0,4,0,0,0,0,0,0,4,1,3,0,1,1,1,0,0,0,0,0,
Demonte Meeks,82536,LB,AIR FORCE,13,18,0,85.0,0,2,101,0,0,60.4,70.7,58.3,63.7,74.5,85.1,8,13,0,0,30,7.2,7,0,1,101.0,17,7,0,691,3,277,727,10,0,0,10,0,5,717,149,301,17,57,72,7,20,28,0,165,92,9.7
Colt Doughty,82538,LB,CAL,5,0,0,,0,0,130,0,0,66.3,58.2,75.6,55.6,50.8,80.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,34,0,19,44,2,0,0,2,0,6,42,3,22,2,3,4,0,0,0,0,0,0,
Tommy Vanis,82540,LB,CAL,1,0,0,,0,0,130,0,0,,56.9,69.1,,57.3,,0,0,0,0,,,0,0,0,0.0,0,0,0,8,0,0,8,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,
Evan Tattersall,82541,LB,CAL,2,0,0,,0,0,130,0,0,60.5,80.2,70.4,,80.5,76.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,12,0,2,12,0,0,0,0,0,0,12,0,10,0,2,2,2,0,0,0,0,0,
Quay Walker,82547,LB,GEORGIA,13,4,0,75.0,0,0,173,0,0,60.9,59.3,0.0,61.5,62.9,84.4,0,2,0,0,9,4.8,1,0,2,85.4,6,3,0,157,0,85,188,14,0,0,14,0,0,174,33,70,17,9,16,1,8,5,0,40,27,6.7
Channing Tindall,82548,LB,GEORGIA,6,2,0,0.0,0,0,173,0,0,65.8,74.3,79.1,68.5,75.9,80.4,1,0,0,0,,0.0,0,0,0,39.6,0,2,0,44,2,28,58,6,0,0,6,0,0,52,12,18,6,1,1,0,1,3,0,0,0,
Blake Carroll,82550,LB,GA STATE,8,2,0,100.0,0,0,175,0,0,63.8,58.9,76.7,67.0,51.8,50.9,1,2,0,0,12,18.2,2,0,0,102.1,2,0,0,70,0,30,74,2,0,0,2,0,1,72,5,39,1,4,7,1,2,3,0,17,0,8.5
Zach Dixon,82551,LB,GA STATE,9,7,0,91.7,0,0,175,0,0,45.8,39.0,84.6,69.1,37.9,27.5,1,2,0,0,23,30.8,16,0,0,131.3,11,1,0,369,0,150,380,1,0,0,1,0,6,379,12,218,3,19,29,1,12,4,1,106,46,9.6
Will Honas,82552,LB,NEBRASKA,12,9,0,78.6,0,1,238,0,0,46.4,49.0,84.4,50.1,55.2,70.6,0,7,0,0,40,11.5,9,1,0,104.8,22,1,0,454,1,218,529,10,0,0,9,1,0,519,51,260,64,29,60,3,28,8,0,256,172,11.6
