player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Nick Martorell,77170,LB,TULANE,1,0,0,,0,0,319,0,0,,62.4,64.6,,60.4,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,
Sam Bruchhaus,77173,LB,TULANE,1,1,0,,0,0,319,0,0,60.0,72.5,66.0,,67.8,73.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,4,0,1,4,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,
Kevon Jones,77179,ED,UCONN,10,12,0,,0,0,146,0,0,84.2,62.8,31.9,65.1,58.9,68.2,10,9,0,0,,14.6,6,0,3,0.0,0,4,0,0,0,1,458,457,0,5,449,3,0,1,241,216,0,17,23,3,0,23,0,0,0,
Donavan Mutin,77180,LB,HOUSTON,12,12,0,80.6,0,0,182,0,0,38.6,52.3,86.9,54.8,65.2,76.9,3,9,0,1,47,9.7,6,0,0,118.1,25,0,0,694,0,360,763,12,0,0,12,0,4,751,66,337,53,26,44,5,31,12,2,323,241,12.9
Zamar Kirven,77181,LB,HOUSTON,8,7,0,73.7,0,0,182,1,0,52.5,57.0,82.9,71.5,56.7,49.5,2,7,0,1,13,20.8,10,1,0,83.2,14,0,0,300,1,137,354,20,0,0,19,1,2,334,30,187,31,17,31,5,19,9,1,110,64,7.9
Antonio Grier,77185,LB,USF,12,8,0,83.3,0,1,327,0,0,50.4,55.9,47.4,70.2,56.7,83.6,1,7,0,0,30,8.8,5,1,1,104.2,15,4,0,379,1,152,456,54,0,0,54,0,1,402,48,256,21,22,44,3,18,12,0,162,112,10.8
Dwayne Boyles,77186,LB,USF,12,15,1,70.8,1,0,327,0,0,76.0,60.4,43.7,65.3,49.1,75.7,1,6,0,0,50,10.4,8,1,2,110.9,17,3,0,423,2,222,707,203,0,0,203,0,0,504,93,392,79,37,54,9,24,10,1,207,140,12.2
Drew Mims,77187,LB,USF,8,4,0,75.0,0,1,327,0,0,55.9,59.6,77.8,68.6,59.7,90.0,0,1,0,0,17,0.0,0,0,0,136.5,6,1,0,158,0,55,176,15,0,0,15,0,0,161,9,112,3,10,24,1,8,2,1,62,27,10.3
Gerard Stringer,77188,CB,E CAROLINA,12,18,0,69.8,0,0,156,0,0,64.5,68.3,61.0,55.5,78.8,70.8,1,3,0,2,48,15.8,12,2,1,93.6,30,1,0,122,29,308,708,89,0,0,89,0,0,619,28,372,468,18,46,4,43,5,2,384,213,12.8
Zaven Collins,77190,LB,TULSA,12,15,0,62.5,0,0,320,1,0,80.2,77.9,84.2,59.1,75.5,56.5,1,8,0,0,21,16.3,17,3,0,79.7,10,2,0,740,0,337,831,22,0,0,21,1,0,809,66,428,67,47,72,7,16,11,0,98,94,9.8
Jireh Wilson,77192,S,E CAROLINA,11,6,0,60.0,0,0,156,0,0,54.3,58.7,81.2,60.9,64.2,67.2,0,2,0,0,73,14.3,4,0,0,100.1,15,0,0,120,3,128,274,9,0,0,9,0,74,265,7,139,68,6,18,1,25,2,1,208,81,13.9
Eldridge Salguero,77194,LB,BOWL GREEN,5,3,0,100.0,0,0,122,0,0,43.1,50.8,78.9,57.0,57.3,33.6,0,0,0,0,17,33.3,4,0,0,104.2,3,0,0,42,0,19,86,35,0,0,35,0,0,51,6,61,9,2,5,1,3,0,0,27,17,9.0
Brian Asamoah II,77195,LB,OKLAHOMA,9,1,0,83.3,0,0,261,0,0,52.5,62.2,78.4,59.2,70.5,65.0,0,3,0,0,38,14.3,3,1,0,158.3,5,2,0,137,0,54,144,1,0,0,1,0,0,143,20,70,6,16,17,1,6,5,1,76,62,15.2
Nik Bonitto,77196,ED,OKLAHOMA,14,8,1,63.6,0,0,261,0,0,88.5,78.9,69.2,72.9,71.0,68.1,2,14,0,1,11,14.3,5,2,1,38.4,7,3,0,3,0,117,420,415,0,0,415,0,0,5,131,172,2,18,22,2,11,19,0,56,38,8.0
DaShaun White,77198,LB,OKLAHOMA,14,7,0,80.0,0,0,261,1,0,57.7,60.2,84.6,65.1,59.3,69.8,3,7,0,0,33,14.3,7,0,1,136.7,16,1,0,480,8,259,544,2,0,0,2,0,0,542,51,234,53,18,35,1,20,11,2,176,72,11.0
Carson Kropp,77200,LB,OKLA STATE,1,0,0,0.0,0,0,262,0,0,60.0,53.5,65.0,,65.6,74.3,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,2,0,1,3,0,0,0,0,0,0,3,0,2,1,1,1,0,1,0,0,0,0,
Ayodele Adeoye,77203,LB,TEXAS,13,11,0,88.2,0,0,311,0,0,57.2,53.5,84.6,55.6,51.6,68.5,0,8,0,1,70,11.5,6,1,0,133.3,15,3,0,515,2,248,584,18,0,0,18,0,0,566,95,241,48,17,35,1,17,11,2,212,144,14.1
Joseph Ossai,77205,LB,TEXAS,13,14,0,83.3,1,1,311,0,0,70.1,70.8,16.1,63.1,74.6,38.7,10,24,0,2,36,23.7,23,0,4,68.1,20,3,0,430,1,263,834,272,0,0,272,0,0,562,228,343,130,42,60,8,24,37,0,208,191,10.4
Byron Vaughns,77206,ED,TEXAS,6,1,0,80.0,0,0,311,0,0,36.1,53.8,80.4,65.0,64.7,41.7,0,1,0,0,22,25.0,3,0,0,132.9,4,0,0,17,0,23,76,57,0,0,57,0,0,19,23,30,2,5,8,0,5,1,1,32,13,8.0
Ben Wilson,77208,LB,TCU,6,7,0,100.0,0,0,305,0,0,75.2,66.8,77.3,57.7,55.8,66.4,0,3,0,0,12,12.1,4,0,0,88.4,9,0,0,176,0,96,189,1,0,0,1,0,0,188,12,81,12,14,22,0,9,3,0,47,33,5.2
Jake Abbott,77212,LB,W VIRGINIA,3,2,0,,0,0,343,0,0,60.8,65.5,72.9,,65.1,75.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,13,0,3,17,3,0,0,3,0,0,14,0,14,0,0,0,0,0,0,0,0,0,
Josh Chandler-Semedo,77214,LB,W VIRGINIA,10,15,1,80.0,0,0,343,1,0,74.1,75.2,51.2,54.3,78.4,86.4,0,10,0,0,25,5.1,4,2,1,96.4,12,1,0,297,33,167,472,94,0,0,94,0,1,378,44,261,47,25,59,3,15,11,0,107,86,8.9
Mike Rose,77218,LB,IOWA STATE,13,17,0,80.0,0,1,193,0,0,79.5,75.8,65.7,62.1,72.1,60.3,1,14,0,1,25,16.9,15,2,1,96.5,44,5,0,356,5,398,837,110,0,0,110,0,2,727,91,348,362,39,57,6,55,20,2,334,222,7.6
Chandler Pulvermacher,77219,LB,IOWA STATE,1,0,0,,0,0,193,0,0,,59.4,70.2,58.8,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,0,0,5,1,0,0,1,0,0,4,3,2,2,0,0,0,0,0,0,0,0,
Gerry Vaughn,77220,CB,IOWA STATE,1,1,0,,0,0,193,0,0,63.7,61.2,71.1,,55.6,75.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,3,0,5,8,0,0,0,0,0,0,8,0,3,5,0,0,0,0,0,0,0,0,
Hunter Webb,77225,LB,UCONN,4,0,0,,0,0,146,0,0,63.2,62.1,72.4,,59.2,74.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,23,0,9,23,0,0,0,0,0,0,23,0,14,0,1,1,0,0,0,0,0,0,
Nick Allen,77229,LB,KANSAS ST,3,1,0,50.0,0,0,199,0,0,76.6,68.9,70.1,,50.6,73.1,0,0,0,0,2,0.0,0,1,0,56.3,1,0,0,13,0,7,15,0,0,0,0,0,0,15,0,8,2,0,0,0,2,0,0,2,1,2.0
Cody Fletcher,77231,LB,KANSAS ST,7,2,0,55.6,0,0,199,0,0,66.5,68.3,78.8,54.5,68.5,47.6,0,0,0,0,19,20.0,2,2,0,74.3,5,0,0,80,0,50,94,2,0,0,2,0,0,92,3,41,12,5,6,0,9,0,0,56,27,11.2
Daniel Green,77232,LB,KANSAS ST,13,13,0,50.0,0,1,199,1,0,35.8,53.9,81.7,65.9,68.8,50.5,0,1,0,0,70,17.0,9,2,0,116.5,10,2,0,291,0,160,343,7,0,0,7,0,3,336,26,157,42,20,31,3,20,3,2,189,114,18.9
Xavier Benson,77236,LB,TEXAS TECH,12,13,0,81.1,0,0,315,0,0,61.8,62.8,87.0,57.5,63.9,66.2,0,8,0,0,48,13.9,10,0,1,101.5,30,2,0,446,14,307,742,137,0,0,137,0,0,605,96,339,145,32,49,3,37,10,1,229,182,7.6
Michael Nelson,77238,LB,TEXAS TECH,1,1,0,,0,0,315,0,0,,62.3,60.0,,62.1,70.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Brandon Perce,77241,LB,BOWL GREEN,11,25,1,71.9,0,2,122,0,0,61.3,52.8,4.8,63.6,49.4,53.5,2,9,0,2,60,17.9,22,1,4,103.9,23,3,0,665,0,305,715,9,0,0,9,0,10,706,47,363,29,42,76,6,32,14,3,282,148,12.3
Matt Harmon,77244,ED,KENT STATE,8,0,0,100.0,1,0,201,0,0,52.2,52.4,11.0,55.1,57.7,46.2,0,0,0,0,13,33.3,1,0,1,118.8,1,0,0,4,1,5,90,78,0,0,78,0,0,12,15,70,7,0,2,0,1,0,0,13,9,13.0
Sebastian Spear,77245,ED,KENT STATE,2,0,0,,0,0,201,0,0,52.5,38.5,74.7,58.5,49.6,25.6,0,0,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,1,13,13,0,0,13,0,0,0,3,9,0,1,1,0,0,0,0,0,0,
Daniel Bolden,77252,LB,TOLEDO,12,9,0,66.7,0,2,316,0,0,72.4,79.4,77.6,50.1,82.3,74.9,1,2,0,0,24,9.8,4,0,0,85.9,6,0,0,170,0,62,187,3,0,0,3,0,0,184,13,112,13,12,28,0,9,3,0,61,39,10.2
Ryan Selig,77254,TE,W MICHIGAN,1,0,0,,0,0,347,0,0,,60.0,60.0,60.0,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
Cortez Hogans,77257,ED,N ILLINOIS,1,0,0,,0,0,254,0,0,,63.3,67.8,,61.5,71.5,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,
Kewan Parker,77259,ED,N ILLINOIS,1,0,0,,0,0,254,0,0,,60.5,68.1,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
Kobie Beltram,77260,LB,E MICHIGAN,13,28,1,82.1,0,1,160,2,0,73.3,64.2,63.2,59.4,57.8,87.7,1,8,0,0,28,8.9,12,4,1,126.9,32,1,0,794,1,385,888,34,0,0,34,0,2,854,47,456,57,57,95,4,39,10,3,324,203,10.1
Matthew Buschman,77262,LB,E MICHIGAN,3,1,0,100.0,0,0,160,0,0,52.4,55.8,72.4,,62.2,80.1,0,0,0,0,8,0.0,0,0,0,100.0,1,0,0,15,0,6,17,0,0,0,0,0,0,17,0,11,1,3,4,0,1,0,0,8,7,8.0
Bryce Houston,77265,LB,OHIO,4,1,0,100.0,0,0,259,0,0,51.5,38.1,77.4,54.9,29.2,35.8,0,0,0,0,13,33.3,1,0,0,112.5,2,0,0,31,0,22,38,2,0,0,2,0,3,36,6,10,1,0,1,0,2,0,0,22,10,11.0
Keye Thompson,77266,LB,OHIO,9,8,0,80.0,0,1,259,1,0,65.9,76.8,82.7,62.2,81.6,57.5,1,2,0,0,44,16.0,8,2,0,145.0,8,0,0,302,0,139,365,35,0,0,35,0,0,330,34,192,28,22,34,7,10,3,1,108,73,13.5
Jack McCrory,77267,LB,OHIO,13,1,0,100.0,0,0,259,0,0,63.1,61.0,83.0,65.2,36.3,85.3,2,2,0,0,22,0.0,0,0,0,108.8,10,4,0,67,2,52,117,42,0,0,42,0,0,75,52,13,6,8,8,0,10,8,0,101,26,10.1
Evander Craft,77270,LB,TOLEDO,1,0,0,,0,0,316,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Max Michel,77272,LB,BUFFALO,5,1,0,,0,0,126,0,0,65.9,70.3,82.9,58.4,65.0,81.1,1,0,0,0,,0.0,0,0,0,0.0,0,0,0,8,0,0,26,11,0,0,10,1,0,15,5,21,5,3,4,0,0,1,0,0,0,
Vinny DePalma,77273,LB,BOSTON COL,12,8,0,64.7,0,1,121,0,0,60.6,58.1,81.5,53.7,57.3,59.5,1,0,0,0,21,13.5,5,1,0,105.5,11,0,0,173,0,94,223,19,0,0,19,0,0,204,23,106,31,16,24,5,17,1,1,122,52,11.1
Fabian Weitz,77274,LB,BUFFALO,2,0,0,,0,0,126,0,0,,30.7,64.8,60.0,30.6,20.9,1,0,0,0,,100.0,2,0,0,0.0,0,0,0,4,0,0,5,0,0,0,0,0,0,5,1,4,0,0,0,0,0,1,0,0,0,
Brandon Bischof,77275,LB,AKRON,5,2,0,,0,0,102,0,0,,65.0,68.0,59.1,65.6,77.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,14,0,0,16,0,0,0,0,0,0,16,1,15,0,0,0,0,0,0,0,0,0,
Jordan Redmond,77310,DI,VIRGINIA,3,0,0,,0,0,335,0,0,,59.2,74.3,56.7,61.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,20,20,9,11,0,0,0,0,11,9,0,0,0,0,0,0,0,0,0,
Jeffery Johnson,77312,DI,TULANE,12,11,0,,0,0,319,1,0,,62.8,71.9,62.9,61.3,48.5,1,3,0,0,,12.9,4,0,1,0.0,0,3,0,0,0,0,527,526,431,86,1,8,0,1,254,273,0,15,16,1,0,7,0,0,0,
Jamiran James,77313,DI,TULANE,3,2,0,,0,0,319,0,0,,68.4,76.7,67.0,65.1,73.5,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,33,32,31,1,0,0,0,1,18,15,0,2,2,1,0,2,0,0,0,
Matt Seres,77436,DI,IOWA STATE,1,0,0,,0,0,193,0,0,,57.1,73.1,58.7,57.6,20.1,0,0,0,0,,100.0,2,0,0,0.0,0,0,0,0,0,0,11,11,10,1,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,
Reuben Lewis,77476,DI,KANSAS,1,0,0,,0,0,198,0,0,,60.1,76.1,57.1,60.9,70.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,23,23,23,0,0,0,0,0,8,15,0,0,1,0,0,0,0,0,0,
Eric Bentley,77551,DI,AKRON,10,7,0,,1,0,102,1,0,60.7,64.8,54.8,56.1,69.4,82.2,1,3,0,0,,5.0,1,0,1,0.0,0,0,0,0,0,0,316,316,1,76,0,239,0,0,142,174,0,9,12,0,0,4,0,0,0,
Noah Taylor,77559,ED,VIRGINIA,14,11,1,54.5,0,1,335,0,0,89.7,76.7,92.1,70.7,60.8,79.7,5,16,0,2,25,11.1,6,1,0,29.2,12,5,0,59,8,181,673,452,0,0,452,0,5,221,203,289,147,28,37,7,22,26,0,103,42,8.6
Grant Misch,77560,TE,VIRGINIA,1,0,0,,0,0,335,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Diego Fagot,77563,LB,NAVY,13,22,0,71.4,0,3,237,0,0,80.6,74.2,58.1,68.1,65.1,73.8,8,10,1,1,45,10.8,11,1,2,72.7,15,6,0,582,0,261,675,58,0,0,58,0,1,617,104,310,34,50,69,7,21,24,0,156,96,10.4
Tony Brown,77565,S,NAVY,11,1,0,60.0,0,0,237,1,1,51.1,45.1,0.0,56.4,38.8,56.8,0,0,0,0,73,20.0,2,0,1,143.8,3,0,0,21,0,54,132,37,0,0,37,0,1,95,21,57,73,5,7,1,5,0,1,99,56,33.0
Dyontae Johnson,77568,LB,TOLEDO,12,1,0,75.0,0,0,316,1,0,69.0,73.3,81.1,65.5,71.9,79.4,3,1,0,0,28,4.3,1,1,0,111.5,3,0,0,177,1,75,206,10,0,0,10,0,0,196,16,115,18,11,21,2,4,4,0,45,38,15.0
Joe Bonds,77569,LB,N ILLINOIS,1,0,0,,0,0,254,0,0,,60.8,64.1,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Tony Schott,77570,ED,BALL ST,1,0,0,,0,0,117,0,0,,50.3,70.8,,54.7,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,
Davion Tyson,77572,CB,BALL ST,1,0,0,,0,0,117,0,0,64.0,56.7,76.4,57.9,49.6,26.9,0,0,0,0,,50.0,1,0,0,0.0,0,0,0,1,0,5,17,4,0,0,4,0,0,13,2,10,12,0,1,0,0,0,0,0,0,
Rayshawn Wilborn,77573,S,BALL ST,12,11,0,51.4,0,0,117,0,0,38.7,43.9,32.0,59.4,52.9,66.1,1,1,0,2,75,15.2,12,5,2,85.7,18,0,0,310,1,425,853,34,0,0,34,0,369,819,12,416,139,13,56,2,35,2,2,382,166,21.2
Cameron Fleming,77736,CB,MEMPHIS,1,0,0,0.0,0,0,218,0,0,50.8,48.4,68.2,,60.0,,0,0,0,0,,,0,0,0,39.6,0,0,0,0,4,3,4,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,
Amare Jones,77742,WR,TULANE,1,0,0,,0,0,319,0,0,,62.4,60.0,,61.1,70.3,0,0,0,0,,,0,0,2,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Cameron Carroll,77743,HB,TULANE,1,0,0,,0,0,319,0,0,,56.9,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Lavarey Banton,77748,HB,UCONN,1,0,0,50.0,0,0,146,0,0,42.9,42.0,70.5,,60.0,74.2,0,0,0,0,45,0.0,0,0,0,95.8,1,0,0,0,7,7,8,0,0,0,0,0,1,8,0,1,0,0,1,0,2,0,0,45,11,45.0
Brian Norris,77750,LB,USF,7,3,0,100.0,0,1,327,0,0,54.8,61.4,73.7,86.2,56.5,83.2,0,1,0,0,22,0.0,0,0,0,96.9,4,1,0,41,0,9,45,1,0,0,1,0,0,44,2,34,2,2,5,0,4,2,0,29,21,7.3
Ta'Zhawn Henry,77776,HB,TEXAS TECH,1,0,0,,1,0,315,0,0,,60.1,60.0,,60.0,,0,0,0,0,,,0,0,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Trenell Troutman,77810,LB,LOUISVILLE,5,1,0,100.0,0,0,210,0,0,68.7,65.9,79.0,58.0,61.4,85.1,1,0,0,0,9,0.0,0,0,0,120.8,2,0,0,14,0,18,56,17,0,0,17,0,8,39,5,33,17,6,10,1,2,1,1,7,0,3.5
Sean Michael Flanagan,77812,S,OKLA STATE,2,1,0,50.0,0,0,262,0,0,76.8,66.5,0.0,58.0,57.7,81.5,0,0,0,0,23,0.0,0,1,1,91.7,1,0,0,4,0,16,31,3,0,0,3,0,16,28,3,12,8,0,1,0,2,0,0,23,7,23.0
Nate Thompson,77813,S,DUKE,5,0,0,,0,0,154,0,0,62.9,69.0,71.3,,71.0,78.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,6,0,11,16,0,0,0,0,0,10,16,0,5,0,1,2,0,0,0,0,0,0,
Malik Dunlap,77814,CB,NC STATE,8,4,1,53.3,0,0,248,0,0,49.6,51.1,83.3,72.9,53.6,54.5,0,0,0,0,59,20.0,4,4,1,95.1,16,0,0,14,288,149,311,5,0,0,5,0,1,306,4,158,2,2,12,1,30,0,1,270,75,16.9
Tyler Baker-Williams,77815,CB,NC STATE,12,5,0,51.9,0,0,248,0,0,78.1,73.1,47.9,57.6,63.1,68.4,0,2,0,0,27,10.8,4,3,1,74.9,14,1,0,90,4,273,493,53,0,0,53,0,21,440,24,196,324,16,28,3,27,3,1,112,37,8.0
Kevin Brennan,77819,S,NAVY,13,18,0,60.9,0,1,237,0,0,41.5,51.4,17.3,70.2,70.6,62.0,0,2,0,2,70,15.7,14,4,2,117.8,28,0,0,255,4,372,689,18,0,0,18,0,293,671,10,307,119,17,57,1,46,2,7,480,185,17.1
Kendarin Ray,77823,S,TULSA,11,11,0,60.0,0,0,320,0,0,67.9,77.9,80.5,,87.2,89.0,0,0,0,0,49,2.9,1,1,0,104.2,3,0,0,133,0,92,202,1,0,0,1,0,35,201,0,110,33,6,22,1,5,0,0,64,13,21.3
Bryson Powers,77824,S,TULSA,10,1,0,66.7,0,1,320,0,0,53.8,59.9,80.8,,74.5,64.0,0,0,0,0,14,18.2,2,0,0,95.1,2,0,0,85,0,108,172,1,0,0,1,0,64,171,0,64,22,2,8,0,3,0,0,27,9,13.5
Daiquain Jackson,77826,S,TULSA,5,0,0,0.0,0,0,320,0,0,57.4,57.8,72.3,,60.0,73.1,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,1,2,11,15,0,0,0,0,0,0,15,0,4,12,0,1,0,1,0,0,0,0,
Brandon Johnson,77827,CB,TULSA,12,9,0,62.1,1,0,320,0,0,41.5,49.4,53.5,,75.6,79.4,0,0,0,0,90,10.4,7,2,5,128.9,36,0,0,97,18,344,694,0,0,0,0,0,119,694,0,350,458,17,51,2,58,0,5,645,192,17.9
Michael Salerno,77828,S,SMU,1,0,0,100.0,0,0,287,0,0,49.7,40.1,0.0,,,22.2,0,0,0,0,37,100.0,1,0,1,118.8,1,0,0,2,0,4,4,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,37,14,37.0
Larry Brooks,77832,S,TULANE,12,5,0,42.9,0,0,319,0,0,68.0,63.8,85.9,46.6,52.8,40.1,0,1,0,4,37,26.5,9,3,2,20.1,12,0,0,38,10,163,305,0,0,0,0,0,105,305,2,140,151,2,20,0,28,1,0,147,61,12.3
Grant Hamel,77833,CB,TULANE,2,0,0,,0,0,319,0,0,61.8,61.8,69.4,,59.8,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,3,5,0,0,0,0,0,0,5,0,2,5,0,0,0,0,0,0,0,0,
Macon Clark,77834,S,TULANE,11,2,0,54.5,0,0,319,0,0,70.8,61.5,0.0,59.9,41.1,41.8,0,0,1,1,35,26.7,4,1,1,72.5,6,0,0,32,4,103,162,1,0,0,1,0,101,161,1,58,23,4,9,0,11,0,1,86,43,14.3
Patrick Fields,77835,S,OKLAHOMA,14,5,0,63.6,0,0,261,1,0,71.0,73.4,26.0,73.5,75.8,77.7,1,0,0,0,39,9.1,6,6,5,95.4,21,2,0,505,0,482,850,4,0,0,4,0,145,846,9,359,195,16,55,3,33,3,1,239,75,11.4
Delarrin Turner-Yell,77836,CB,OKLAHOMA,13,10,0,58.3,0,0,261,0,0,64.3,58.7,21.1,81.6,42.3,54.7,1,0,0,0,78,17.6,15,2,3,110.4,28,0,0,215,3,421,727,2,0,0,2,0,86,725,3,303,421,16,60,5,48,1,3,448,205,16.0
JT Woods,77837,S,BAYLOR,14,3,0,76.2,0,0,118,1,0,53.9,50.0,39.3,50.9,44.8,36.0,1,3,0,0,34,27.7,13,0,1,144.3,16,0,0,101,0,283,506,3,0,0,3,0,245,503,5,218,156,7,31,1,21,4,2,237,51,14.8
Christian Morgan,77838,S,BAYLOR,9,3,0,50.0,0,0,118,0,0,57.9,52.1,76.7,55.5,44.6,34.3,0,0,0,0,26,28.6,4,0,0,76.0,2,0,0,65,0,52,114,5,0,0,5,0,6,109,6,56,37,4,7,0,4,0,0,31,0,15.5
Colby Delashaw,77839,S,BAYLOR,1,1,0,,0,0,118,0,0,64.6,64.2,69.5,,60.0,76.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,3,7,0,0,0,0,0,6,7,0,4,0,0,0,0,0,0,0,0,0,
Kanion Williams,77840,S,OKLA STATE,2,1,0,0.0,0,0,262,0,0,71.8,72.6,74.7,59.5,67.1,80.4,0,0,0,0,,0.0,0,1,0,39.6,0,0,0,11,0,16,29,2,0,0,2,0,9,27,2,11,7,0,2,0,1,0,0,0,0,
Jarrick Bernard-Converse,77841,CB,OKLA STATE,13,5,0,58.7,0,0,262,0,0,61.7,66.2,59.1,73.3,76.3,81.2,1,1,0,1,73,9.3,5,5,1,111.4,37,2,0,68,15,456,800,23,0,0,23,0,222,777,14,330,471,19,44,1,63,4,6,533,186,14.4
Jason Taylor II,77842,S,OKLA STATE,7,1,0,77.8,0,0,262,0,0,57.1,55.2,81.5,56.2,52.3,55.6,0,0,0,0,56,6.3,1,0,0,153.5,7,0,0,30,0,64,120,4,0,0,4,0,53,116,4,52,33,5,14,1,9,0,2,102,53,14.6
Kolby Harvell-Peel,77843,S,OKLA STATE,12,12,0,48.9,0,1,262,2,0,89.5,84.5,89.5,60.4,64.2,55.8,0,2,0,5,63,21.2,18,11,1,44.6,22,1,0,206,6,423,762,33,0,0,33,0,383,729,18,321,134,29,55,2,45,3,2,287,137,13.0
Atanza Vongor,77844,S,TCU,2,0,0,,0,0,305,0,0,,60.4,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,
DeMauryon Holmes,77845,LB,TCU,2,0,0,,0,0,305,0,0,,62.4,60.0,,63.1,68.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,
C.J. Ceasar II,77846,CB,TCU,4,0,0,66.7,0,0,305,0,0,81.8,77.4,77.4,,53.6,74.2,0,0,0,0,4,0.0,0,1,0,70.1,2,0,0,1,8,8,15,2,0,0,2,0,0,13,0,7,2,1,1,0,3,0,0,6,-1,3.0
Tre'von Moehrig,77847,S,TCU,12,9,0,53.2,0,2,305,1,0,91.9,91.6,56.7,,76.8,71.6,0,0,0,4,47,13.2,9,12,2,57.8,25,0,0,243,0,437,785,1,0,0,1,0,169,784,0,348,370,18,50,1,47,0,3,288,144,11.5
Ar'Darius Washington,77848,S,TCU,12,3,1,35.7,0,0,305,0,0,92.1,91.7,84.9,71.1,72.4,83.5,0,1,0,5,46,6.3,3,2,0,11.6,5,0,0,210,0,265,461,0,0,0,0,0,134,461,4,192,116,19,42,1,14,1,0,65,38,13.0
Kwantel Raines,77851,S,W VIRGINIA,9,3,0,90.9,0,1,343,0,0,51.0,58.1,82.8,63.2,69.3,28.8,0,2,0,0,24,38.9,7,0,1,100.0,10,0,0,65,18,91,207,22,0,0,22,0,0,185,10,106,102,3,8,0,11,2,0,88,42,8.8
