player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Devante Peete,47963,WR,LOUISVILLE,10,58.7,0,210,57.7,,60.0,0,0,0,0.0,0.0,,0,0,0,74,0,0,0,126,0,52,0,0,74,0
Chevan Cordeiro,75886,QB,HAWAII,12,30.5,0,180,69.6,,60.0,0,0,0,0.0,0.0,,0,0,0,74,0,0,0,243,0,149,0,0,74,0
Lucious Stanley,57439,HB,UAB,12,37.2,0,321,75.6,63.6,56.4,2,0,43,56.6,57.0,97.7,0,2,0,74,0,0,0,199,45,79,0,0,29,0
Bryce Mathews,41528,T,OLE MISS,4,100.0,0,226,60.7,49.6,62.0,0,1,28,100.0,100.0,94.6,0,2,1,74,0,0,0,74,31,31,0,74,43,0
Austin Williams,61463,WR,MISS STATE,12,53.2,0,227,70.3,,63.7,0,0,0,0.0,0.0,,0,0,0,74,0,0,0,139,0,65,0,0,74,1
Jay Griffin IV,40574,WR,NEW MEXICO,6,42.2,0,241,59.3,,51.4,0,0,0,0.0,0.0,,0,0,0,73,0,0,0,173,0,97,0,0,73,0
Scott Lashley,40723,T,ALABAMA,8,100.0,0,103,61.4,84.4,57.0,0,0,14,100.0,100.0,100.0,0,0,0,73,0,0,73,73,14,14,0,0,59,0
Rhamondre Stevenson,98689,HB,OKLAHOMA,12,38.2,0,261,86.6,65.4,77.9,0,1,17,25.4,25.4,97.1,0,1,0,73,0,0,0,191,18,71,0,0,55,1
Darius Anderson,45958,HB,TCU,12,18.5,0,305,80.0,29.6,57.5,0,3,27,14.3,15.2,90.7,1,4,1,73,0,0,0,395,30,197,0,0,43,0
Justice Shelton-Mosley,98752,WR,VANDERBILT,11,27.4,1,333,51.7,,52.4,0,0,0,0.0,0.0,,1,0,0,73,0,0,0,266,0,188,0,0,73,2
