player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Ty Van Fossen,77147,LB,CINCINNATI,2,0,9.5,50.0,75.0,6.0,3.0,0,0,1,50.0,138,85.9,79.1,73.1,57.0,62.8,60.3,0,1,0.0,0,1,0,56.3,1,6,8,1,2,2,0,1,6,0.2,1.0
Eriq Gilyard,77152,LB,UCF,13,5,6.3,66.7,83.0,16.0,10.7,0,0,0,0.0,323,46.7,59.8,83.1,57.7,68.3,77.8,1,16,13.6,3,0,0,81.6,16,268,323,7,14,24,1,158,68,0.6,9.9
Keith Brown Jr.,77155,LB,MEMPHIS,6,1,8.0,100.0,81.1,28.0,28.0,0,0,0,0.0,218,60.8,59.3,76.1,61.0,56.8,40.1,0,10,0.0,0,0,0,108.3,1,30,37,0,0,1,0,10,2,0.4,10.0
Jaylon Allen,77156,ED,MEMPHIS,4,0,-3.0,100.0,25.0,4.0,4.0,0,0,0,0.0,218,61.4,61.3,78.9,60.5,59.4,29.6,0,12,,0,0,0,116.7,1,4,16,0,0,1,0,12,15,3.0,12.0
Grant Sawyer,77158,LB,TULSA,7,0,15.0,100.0,53.3,8.0,8.0,0,0,0,0.0,320,44.6,50.4,74.7,64.4,56.0,77.3,0,34,,0,0,0,158.3,1,8,15,0,0,1,1,34,19,4.3,34.0
TieNeal Martin,77159,S,TULSA,2,0,7.0,100.0,100.0,12.5,12.5,0,0,0,0.0,320,60.8,63.5,74.2,,66.7,79.5,0,14,,0,0,0,104.2,2,26,26,0,0,2,0,18,4,0.7,9.0
Justin Wright,77160,LB,TULSA,2,0,9.0,100.0,100.0,3.0,3.0,0,0,0,0.0,320,42.1,41.1,71.7,,57.6,42.5,0,9,,0,0,0,104.2,1,3,3,0,0,1,0,9,0,3.0,9.0
Yohance Burnett,77162,LB,TULSA,12,3,1.1,66.7,75.2,14.2,9.4,0,0,0,0.0,320,64.0,63.0,83.9,57.9,61.8,80.5,0,11,11.1,1,0,2,78.5,6,91,121,5,5,9,0,45,32,0.5,7.5
Trevor Denbow,77165,S,SMU,13,0,12.7,41.4,98.9,27.6,11.4,0,1,6,20.7,287,66.3,61.5,49.2,67.9,52.9,36.4,0,32,23.3,7,5,3,75.6,12,346,350,5,23,29,1,192,77,0.6,16.0
Jimmy Phillips Jr.,77166,S,SMU,6,0,4.6,60.0,84.0,13.0,7.8,0,0,1,20.0,287,71.6,75.3,79.7,73.9,71.5,80.9,0,20,0.0,0,1,0,72.9,3,42,50,2,3,5,0,25,3,0.6,8.3
