player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Jahsen Wint,42914,LB,OHIO STATE,5,0,23.0,66.7,100.0,15.0,10.0,0,0,0,0.0,260,55.6,60.6,0.0,71.3,70.0,83.2,0,41,0.0,0,0,1,109.7,2,32,32,1,2,3,0,67,27,2.2,33.5
Kobe Burse,42924,LB,MIAMI OH,12,2,3.2,84.6,90.6,10.4,8.8,0,0,0,0.0,221,72.1,73.8,81.3,46.4,77.0,67.9,0,15,25.0,4,0,0,89.7,11,125,138,6,10,13,0,72,40,0.6,6.5
Travon Fuller,42926,CB,TEXAS A&M,5,0,17.3,66.7,100.0,11.5,7.7,1,0,0,0.0,312,56.8,57.4,74.7,,60.3,79.5,0,27,0.0,0,0,1,149.3,2,24,24,1,2,3,1,42,1,1.8,21.0
P.J. Hall,42928,S,TULANE,13,2,8.9,52.5,98.4,11.3,5.9,0,0,7,11.5,319,71.0,75.3,21.8,61.5,88.1,90.6,2,55,9.1,3,5,4,85.8,32,378,384,12,28,61,5,386,243,1.1,12.1
Nigel Warrior,42930,S,TENNESSEE,13,3,11.8,50.0,99.3,28.9,14.4,0,0,9,32.1,307,88.9,90.1,90.1,79.0,85.1,90.4,4,43,5.7,2,8,3,54.8,14,429,432,9,30,28,2,180,49,0.4,12.9
Jaylon McClain-Sapp,42931,CB,MARSHALL,11,2,22.6,20.0,100.0,42.0,8.4,0,0,6,30.0,214,73.5,68.5,9.9,,39.0,45.1,1,50,14.3,1,3,2,44.8,4,174,174,2,4,20,1,105,14,0.6,26.3
Chris Tooley,42936,CB,FAU,14,0,12.8,46.0,96.9,14.3,6.6,3,2,14,22.2,165,80.5,74.9,24.6,57.7,51.5,56.6,1,46,4.5,1,11,7,64.1,29,440,454,6,21,63,1,377,115,0.9,13.0
Kiondre Thomas,42937,CB,MINNESOTA,13,0,11.6,60.0,100.0,11.3,6.8,0,0,1,4.0,225,60.8,60.7,83.3,,58.0,69.2,1,37,18.8,3,1,2,66.8,15,179,179,1,13,25,0,188,36,1.1,12.5
Jamar Watson,42938,ED,KENTUCKY,13,1,0.6,92.9,38.4,7.8,7.3,0,0,0,0.0,202,76.2,81.6,69.7,89.5,66.6,49.9,0,20,26.7,4,0,1,89.9,13,107,279,13,10,14,0,78,67,0.8,6.0
Jacobi Francis,42941,CB,MEMPHIS,14,0,11.1,44.8,98.3,12.3,5.5,2,0,9,15.5,218,60.1,63.8,86.3,52.4,78.8,80.6,1,38,4.3,1,9,7,67.3,26,349,355,4,22,58,2,328,95,1.0,12.6
Jordan Happle,42942,S,BOISE ST,5,1,7.1,60.0,100.0,19.4,11.7,0,1,2,13.3,120,71.0,72.9,84.3,,74.6,58.7,0,22,21.4,3,2,0,96.8,9,184,184,5,10,15,1,81,40,0.5,9.0
Chris Brown,42952,S,TEXAS,10,1,5.6,56.8,88.8,12.0,6.8,0,0,0,0.0,311,75.6,66.1,14.5,57.0,49.5,40.4,1,75,18.9,7,0,2,73.5,25,309,348,7,29,44,1,274,155,0.9,11.0
Coney Durr,42953,CB,MINNESOTA,13,0,10.6,48.9,98.4,12.5,6.1,0,1,10,21.3,225,70.8,72.8,84.0,52.4,79.0,58.8,1,20,18.2,4,10,0,61.5,23,301,306,5,18,47,1,230,95,0.8,10.0
Noah Burks,42956,ED,WISCONSIN,14,1,4.9,57.1,34.1,12.8,7.3,0,1,2,14.3,349,68.5,65.3,24.3,56.5,72.8,46.2,1,13,40.0,6,2,5,62.5,8,110,323,9,8,14,1,63,31,0.6,7.9
Thomas Pickens,42970,S,MEMPHIS,14,3,5.4,86.4,78.1,9.6,8.3,1,0,0,0.0,218,58.4,58.1,89.0,77.5,47.1,59.7,1,36,20.0,3,0,4,93.0,19,193,247,7,9,22,0,239,130,1.3,12.6
Elias Reynolds,42976,LB,PITTSBURGH,3,0,11.0,0.0,72.3,,43.0,0,0,0,0.0,268,65.3,64.6,80.4,64.2,57.8,57.3,0,,33.3,1,0,0,39.6,0,47,65,2,2,1,0,0,0,0.0,
Jared Dorsa,42981,LB,OHIO,11,9,6.7,64.5,80.5,13.3,8.6,0,1,3,9.7,259,58.6,63.8,86.3,57.5,66.7,60.9,0,41,19.0,4,3,0,110.0,20,285,354,3,8,31,2,243,108,0.9,12.2
Will Evans,42984,ED,OHIO,13,0,4.0,100.0,6.4,9.0,9.0,0,0,0,0.0,259,57.0,64.8,40.3,66.8,64.5,45.7,0,6,33.3,1,0,3,91.7,2,19,295,2,2,2,0,12,4,0.7,6.0
Isaac Garcia,42988,ED,OREGON ST,6,0,,,1.6,,,0,0,0,,265,70.6,67.2,80.6,58.8,66.8,71.9,0,,0.0,0,0,0,0.0,0,1,61,1,1,0,0,0,0,0.0,
Dylan Silcox,42991,LB,RICE,4,0,,,81.0,,,0,0,0,,275,70.2,57.0,86.1,54.2,44.6,48.9,0,,0.0,0,0,0,0.0,0,17,21,1,1,0,0,0,0,0.0,
Khalid Kareem,42993,ED,NOTRE DAME,13,2,,,0.3,,,0,0,0,,258,62.1,85.0,39.9,86.6,78.3,43.6,0,,20.0,1,0,3,0.0,0,1,310,6,2,0,0,0,0,0.0,
Amadeo West,42997,ED,ARMY,3,0,3.0,100.0,32.8,9.5,9.5,0,0,0,0.0,114,64.8,64.0,25.8,61.8,65.0,83.2,0,6,0.0,0,0,1,91.7,2,20,61,2,5,2,0,12,6,0.6,6.0
JoVanni Stewart,43001,CB,W VIRGINIA,4,1,8.5,72.7,93.1,11.3,8.2,0,0,1,9.1,343,69.3,70.3,83.8,59.4,70.4,66.2,0,39,25.0,2,1,0,91.5,8,95,102,2,5,11,0,76,58,0.8,9.5
Myles Reid,43006,LB,MIAMI OH,13,5,4.6,76.9,87.6,12.0,9.2,0,1,1,2.6,221,66.4,70.5,61.1,69.6,70.8,51.7,0,29,19.4,7,1,1,93.9,30,376,429,12,24,39,0,259,142,0.7,8.6
Damon Hayes,43007,CB,RUTGERS,12,0,14.0,45.2,97.7,11.4,5.2,2,2,5,8.1,278,62.9,59.4,53.4,55.0,48.2,57.7,2,58,13.0,3,4,7,61.1,28,341,349,6,20,62,2,358,135,1.1,12.8
Sci Martin Jr.,43008,ED,MISSOURI,1,0,,,50.0,,,0,0,0,,229,60.0,63.7,75.0,59.6,63.4,29.9,0,,,0,0,0,0.0,0,1,2,0,0,0,0,0,0,0.0,
James King,43009,ED,AKRON,2,0,-1.0,50.0,57.1,4.0,2.0,0,0,0,0.0,102,71.6,68.0,80.4,53.5,65.1,61.3,0,7,0.0,0,0,0,58.3,1,4,7,1,1,2,0,7,5,1.8,7.0
Korey Charles,43011,CB,MISS STATE,3,0,-2.0,100.0,100.0,7.0,7.0,0,0,0,0.0,227,83.1,76.7,0.0,,60.0,78.2,0,3,0.0,0,0,1,79.2,1,8,8,2,3,1,0,3,5,0.4,3.0
Elijah Hamilton,43012,CB,VANDERBILT,2,0,20.0,50.0,87.5,6.0,3.0,0,0,0,0.0,333,57.8,69.5,73.8,70.9,77.6,78.2,0,7,0.0,0,0,0,58.3,1,7,8,0,1,2,0,7,3,1.2,7.0
Tyler Gilchrist,43020,CB,AKRON,1,0,5.6,80.0,100.0,2.5,2.0,0,0,0,0.0,102,32.9,35.9,79.7,,61.5,75.1,0,12,0.0,0,0,0,137.1,4,10,10,0,1,5,1,37,20,3.7,9.3
Jonathon Cooper,43021,ED,OHIO STATE,4,0,,,2.8,,,0,0,0,,260,60.2,69.7,27.3,74.8,62.5,39.9,0,,,0,0,1,0.0,0,2,72,0,0,0,0,0,0,0.0,
Marquel Dismuke,43025,S,NEBRASKA,12,5,14.1,46.4,97.2,28.5,13.3,0,1,7,25.0,238,73.9,73.4,87.4,54.1,70.9,67.3,0,36,20.0,6,4,1,66.1,13,382,393,5,19,28,0,170,58,0.5,13.1
Caleb Kelly,43026,LB,OKLAHOMA,4,1,20.0,0.0,88.3,,49.0,0,0,0,0.0,261,60.4,52.6,0.0,59.9,48.4,40.0,0,,50.0,1,0,1,39.6,0,53,60,0,0,1,0,0,0,0.0,
Shawn Jennings,43027,LB,S ALABAMA,5,2,0.2,100.0,96.6,9.3,9.3,0,0,0,0.0,288,71.4,66.7,79.5,78.2,55.0,44.4,0,10,20.0,2,0,0,87.5,6,57,59,4,6,6,0,30,29,0.5,5.0
Tyree Rodgers,43031,S,VA TECH,6,0,12.0,33.3,100.0,30.0,10.0,0,0,0,0.0,337,52.1,54.3,76.3,,60.9,40.9,0,12,,0,0,0,46.5,1,31,31,0,0,3,0,12,1,0.4,12.0
Gage Kreski,43047,S,C MICHIGAN,11,2,5.4,66.7,99.3,21.5,14.3,0,0,0,0.0,134,63.8,71.0,83.3,58.6,84.5,59.7,2,18,21.4,3,0,0,82.9,6,137,138,1,9,9,1,60,30,0.5,10.0
Brandon Jones,43049,S,TEXAS,12,3,9.2,71.9,94.6,11.1,8.0,0,1,4,7.0,311,76.5,74.3,90.3,64.9,62.3,68.0,2,27,10.4,7,4,2,114.5,41,470,497,14,57,57,7,377,153,0.8,9.2
Elan Nash,43051,S,NAVY,13,0,14.6,80.0,83.7,18.4,14.7,0,0,1,10.0,237,61.3,65.9,88.0,61.9,77.3,80.1,0,51,14.3,2,1,0,118.8,8,149,178,5,12,10,0,155,42,1.1,19.4
Drake Spears,43054,LB,W MICHIGAN,13,4,3.0,80.5,88.1,11.8,9.5,0,1,3,7.3,347,73.0,59.3,61.4,54.5,50.7,71.4,2,30,6.9,2,3,1,92.8,33,413,469,11,23,41,2,297,192,0.8,9.0
Jared Mayden,43058,S,ALABAMA,12,5,8.1,60.6,97.6,21.0,12.7,0,1,4,12.1,103,80.1,79.7,87.8,65.0,76.0,73.8,4,34,15.8,6,3,0,50.3,20,449,460,4,27,33,1,215,125,0.5,10.8
Jamal Hicks,43062,S,COLO STATE,12,4,8.0,74.1,94.5,15.5,11.5,1,0,3,11.1,144,69.1,67.5,86.6,69.9,62.1,83.1,0,31,8.1,3,2,3,130.1,20,329,348,12,30,27,5,173,54,0.6,8.7
Jaron Bryant,43064,CB,FRESNO ST,12,3,13.5,60.6,99.6,10.5,6.4,0,2,9,12.7,169,75.2,73.5,87.1,56.2,58.0,59.4,1,62,9.3,4,7,1,94.6,43,473,475,10,36,71,5,417,82,0.9,9.7
Jestin Morrow,43067,CB,MARSHALL,1,0,,,100.0,,,0,0,0,,214,60.0,61.5,68.6,,60.5,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Brady Breeze,43073,S,OREGON,14,3,9.4,53.6,100.0,17.6,9.4,0,0,5,17.9,264,86.9,84.7,85.8,,75.6,71.1,2,22,7.4,2,1,1,33.8,15,283,283,7,22,28,0,113,63,0.4,7.5
Vernon Scott,43076,S,TCU,10,1,13.5,51.4,98.7,15.5,8.0,0,1,7,20.0,305,84.7,75.9,43.7,67.8,56.5,58.6,1,63,15.0,3,7,2,76.6,18,296,300,4,16,35,1,286,143,1.0,15.9
Tre Webb,43077,S,S JOSE ST,12,0,15.0,53.8,98.5,27.4,14.8,0,0,3,11.5,285,65.5,66.2,86.3,54.9,65.5,62.6,1,71,31.8,7,2,2,89.6,14,399,405,2,15,26,1,286,113,0.7,20.4
Kobe Marfo,43083,CB,RUTGERS,1,0,6.0,100.0,100.0,3.3,3.3,0,0,0,0.0,278,61.5,62.0,72.6,,60.0,77.9,0,8,0.0,0,0,0,94.4,3,11,11,0,3,3,0,20,2,2.0,6.7
Taji Stewart,43084,ED,S ALABAMA,3,0,-2.0,75.0,43.1,7.3,5.5,0,0,0,0.0,288,66.3,71.9,86.2,68.4,70.0,65.0,0,6,0.0,0,0,0,77.1,3,22,51,3,4,4,0,7,20,0.3,2.3
Tim Hart,43085,LB,MEMPHIS,14,3,4.4,56.3,81.8,18.6,10.4,0,0,2,12.5,218,52.0,60.8,81.5,76.2,60.5,66.7,0,16,11.1,1,1,0,114.6,9,175,214,5,5,16,2,100,70,0.6,11.1
Moses Reynolds,43090,CB,TEXAS A&M,2,0,9.3,66.7,94.7,9.0,6.0,0,0,0,0.0,312,64.2,64.1,73.5,60.0,60.0,77.0,0,4,0.0,0,0,0,70.1,2,18,19,2,2,3,0,4,8,0.2,2.0
Brandon Hill,43098,LB,DUKE,9,3,2.4,68.8,82.4,16.7,11.5,0,0,1,6.3,154,71.7,72.1,37.8,72.5,67.6,50.3,0,17,11.1,2,1,1,81.5,11,196,238,8,13,16,0,85,71,0.5,7.7
D.J. Morgan,43099,LB,UCONN,10,1,6.4,54.5,79.1,32.0,17.5,0,2,4,36.4,146,67.2,54.6,87.2,75.4,40.0,52.3,0,12,41.7,5,3,0,92.6,6,201,254,4,6,11,1,39,20,0.2,6.5
Travis Whillock,43100,S,NWESTERN,11,3,8.1,83.3,96.7,18.1,15.0,1,0,0,0.0,256,61.4,70.2,87.0,66.4,81.9,82.3,0,32,13.3,4,0,1,140.6,20,383,396,7,23,24,4,198,52,0.5,9.9
Kevin Meitzenheimer,43102,LB,UTAH ST,13,3,2.6,73.2,86.5,13.3,9.8,0,0,0,0.0,329,49.2,48.6,66.5,55.3,50.2,65.4,1,77,24.2,8,0,1,91.8,30,422,488,5,22,41,0,383,343,1.0,12.8
Shane Simmons,43103,ED,PENN STATE,13,0,3.5,100.0,9.1,6.5,6.5,0,0,0,0.0,266,67.1,66.1,84.9,56.9,69.4,82.8,0,12,0.0,0,0,0,93.8,2,13,143,4,4,2,0,13,6,1.0,6.5
DJ Daniels,43105,S,S ALABAMA,12,2,10.9,64.9,99.6,11.3,7.4,0,1,1,2.7,288,50.7,55.5,88.7,60.0,64.2,59.3,0,67,14.7,5,1,1,133.5,24,284,285,9,27,37,4,367,157,1.3,15.3
Donta Evans,43108,LB,OLE MISS,12,0,3.3,76.9,93.0,9.8,7.5,0,0,1,3.8,226,46.9,52.0,82.6,67.2,55.8,55.7,2,26,26.7,4,0,0,66.8,20,200,215,3,11,26,0,204,154,1.0,10.2
Devin Gil,43111,LB,MICHIGAN,6,1,-0.3,100.0,85.7,6.0,6.0,0,0,0,0.0,222,64.8,77.0,74.7,69.2,78.8,83.0,0,10,0.0,0,0,0,81.9,3,18,21,1,1,3,0,11,12,0.6,3.7
Brock Miller,43112,LB,NC STATE,12,2,7.1,82.6,64.7,8.2,6.7,0,0,1,4.3,248,38.9,45.7,86.2,51.8,52.7,40.2,0,74,31.3,5,1,1,145.7,19,161,249,5,9,23,2,276,145,1.8,14.5
Martin Mangram,43114,S,UMASS,12,2,9.8,88.0,98.7,10.4,9.2,0,0,0,0.0,216,50.8,51.7,86.3,66.2,51.5,55.3,0,85,9.1,2,0,0,156.6,22,233,236,2,18,25,7,302,153,1.3,13.7
Chanse Sylvie,43115,CB,OKLAHOMA,4,0,8.8,100.0,89.2,6.4,6.4,0,0,0,0.0,261,46.7,46.2,79.7,53.9,51.7,79.6,0,25,0.0,0,0,0,158.3,5,33,37,1,3,5,1,89,51,2.8,17.8
Marquill Osborne,43116,CB,CHARLOTTE,13,2,13.4,51.0,97.6,11.8,6.0,1,1,14,27.5,136,69.6,74.8,85.5,61.0,88.5,59.0,3,58,33.3,7,7,4,84.8,26,323,331,5,12,51,5,392,170,1.3,15.1
Benny Walls,43119,S,TEMPLE,9,4,9.5,52.9,98.2,27.8,14.7,0,0,1,5.9,306,88.0,74.4,84.8,66.7,50.1,56.3,2,19,11.1,2,1,1,22.8,9,266,271,3,12,17,0,66,47,0.3,7.3
Trey Chapman,43128,CB,GA STATE,2,0,15.0,0.0,100.0,,2.0,0,0,0,0.0,175,63.2,63.5,64.3,,,,0,,,0,0,0,39.6,0,3,3,0,0,1,0,0,0,0.0,
Alijah Halliburton,43139,S,WYOMING,13,9,7.9,66.7,92.8,19.7,13.1,0,0,2,5.6,351,56.2,69.9,63.1,72.9,83.8,87.1,2,36,15.0,6,1,2,75.7,24,493,531,7,25,36,1,276,148,0.6,11.5
Evan Jones,43140,CB,GA STATE,11,2,15.3,73.7,96.1,8.0,5.9,1,0,2,10.5,175,50.9,59.3,81.8,92.6,72.5,73.4,0,54,13.3,2,1,2,133.1,14,122,127,3,11,19,1,262,85,2.3,18.7
Sean Mahone,43146,S,W VIRGINIA,12,5,9.1,71.4,98.6,20.0,14.3,0,0,2,7.1,343,73.1,75.4,87.7,64.1,76.5,75.3,1,31,12.9,4,2,0,116.5,20,418,424,7,22,28,4,203,57,0.5,10.2
Keyvone Bruton,43150,S,TEMPLE,9,0,9.3,33.3,98.2,51.0,17.0,1,1,1,33.3,306,61.5,62.6,78.9,59.7,64.0,81.5,0,22,0.0,0,1,1,60.4,1,54,55,0,2,3,0,22,1,0.4,22.0
Tuf Borland,43158,LB,OHIO STATE,14,3,4.1,80.0,88.4,15.5,12.4,0,1,1,6.7,260,66.3,74.7,38.5,65.2,78.5,70.2,1,34,7.7,1,1,1,70.6,12,191,216,5,9,15,0,114,85,0.6,9.5
Brennan Thieneman,43166,S,PURDUE,12,2,14.4,42.9,98.6,31.8,13.6,0,2,2,14.3,273,55.9,58.9,85.0,57.4,62.7,64.1,0,45,11.1,2,1,0,103.3,6,204,207,1,14,14,1,140,72,0.7,23.3
Tristan Cooper,43171,S,ARIZONA,11,5,8.9,70.0,95.0,8.8,6.2,0,0,3,6.0,109,66.4,63.1,88.1,69.1,55.2,86.1,0,41,3.6,1,3,0,117.8,35,325,342,10,22,50,4,369,142,1.2,10.5
Ka'Darian Smith,43174,CB,HOUSTON,4,1,14.3,75.0,100.0,9.7,7.3,0,0,1,8.3,182,54.8,55.2,80.2,,58.1,46.5,0,56,20.0,2,0,0,156.3,9,89,89,1,7,12,2,195,89,2.2,21.7
Jack King,43178,ED,ARMY,5,0,4.5,50.0,53.8,7.0,3.5,0,0,0,0.0,114,54.2,64.9,78.8,63.3,71.5,77.4,0,10,0.0,0,0,0,64.6,1,7,13,0,1,2,0,10,4,1.4,10.0
Justin Clark,43185,CB,TOLEDO,2,0,9.0,25.0,100.0,14.0,3.5,0,0,0,0.0,316,50.3,52.9,73.6,,64.7,73.5,0,22,,0,0,0,50.0,1,15,15,0,0,4,0,22,10,1.6,22.0
Nolan Turner,43187,S,CLEMSON,15,5,14.0,58.8,97.8,15.5,9.1,0,2,8,23.5,140,73.9,71.5,86.7,51.1,65.0,50.1,2,79,19.0,4,7,0,86.9,20,317,324,3,12,34,2,332,154,1.1,16.6
Ryan McWood,43189,LB,MIAMI OH,13,3,6.4,71.4,89.6,14.7,10.5,0,0,3,10.7,221,37.7,53.1,83.6,64.6,62.3,56.7,0,43,25.8,8,3,1,102.8,20,309,345,6,20,28,0,277,137,0.9,13.9
Amir Tyler,43191,S,TEMPLE,11,0,12.2,43.8,99.0,20.4,8.9,0,1,9,28.1,306,71.3,71.3,87.2,67.4,67.2,51.7,0,36,13.0,3,9,3,67.8,14,302,305,6,20,32,1,145,60,0.5,10.4
Akeam Peters,43193,S,KENT STATE,12,0,12.3,70.0,98.2,29.0,20.3,1,0,0,0.0,201,70.4,65.7,35.5,56.1,58.5,73.1,0,21,0.0,0,0,2,86.7,7,223,227,4,16,10,0,63,20,0.3,9.0
Isaiah Hayes,43194,S,LOUISVILLE,10,2,10.5,87.5,98.9,12.6,11.0,0,0,0,0.0,210,46.4,47.5,81.7,66.1,47.9,27.8,0,24,33.3,4,0,0,150.5,7,89,90,2,6,8,1,85,25,1.0,12.1
Quincy Lenton,43195,S,FLORIDA,2,0,,,100.0,,,0,0,0,,163,51.9,52.8,74.6,,56.8,27.4,0,,,0,0,0,0.0,0,16,16,0,0,0,0,0,0,0.0,
Richie Grant,43196,S,UCF,12,5,9.6,57.1,98.1,18.6,10.6,0,2,8,19.0,323,64.0,69.2,58.4,54.5,79.4,67.3,1,63,22.5,9,6,1,83.4,24,471,480,10,26,42,2,280,123,0.6,11.7
Korel Smith,43201,CB,FAU,5,0,13.3,100.0,93.8,11.3,11.3,0,0,0,0.0,165,57.1,54.5,0.0,59.9,57.2,48.5,0,29,50.0,2,0,1,158.3,4,45,48,0,2,4,1,67,16,1.5,16.8
Jordan Griffin,43205,S,KENTUCKY,12,5,8.3,65.4,97.6,18.0,11.8,1,0,3,11.5,202,67.7,62.8,87.7,65.4,43.8,40.9,2,30,16.7,3,3,1,75.2,17,322,330,4,10,26,1,236,87,0.8,13.9
Max McDonald,43210,LB,COLO STATE,11,4,5.0,100.0,86.0,13.6,13.6,0,0,0,0.0,144,52.4,50.6,81.1,56.7,51.4,76.5,0,29,16.7,1,0,0,110.8,5,74,86,1,1,5,0,53,28,0.8,10.6
Chima Azunna,43211,S,IOWA STATE,11,2,7.4,75.0,91.7,14.7,11.0,0,0,0,0.0,193,80.1,74.9,81.5,74.7,54.5,49.7,0,50,12.5,2,0,0,156.3,6,88,96,3,12,8,1,118,76,1.3,19.7
John Lamot,43215,LB,BOSTON COL,12,5,4.8,73.0,81.2,12.3,9.0,0,2,2,5.4,121,48.4,51.0,86.8,70.5,48.0,39.9,0,28,24.4,10,2,0,100.3,27,346,426,5,26,37,1,252,189,0.8,9.3
Daniel Bituli,43219,LB,TENNESSEE,11,2,3.5,81.8,85.6,9.0,7.3,1,0,3,9.1,307,56.6,62.2,0.0,76.4,68.0,71.7,0,26,15.4,4,2,7,112.0,27,256,299,10,20,33,1,279,205,1.2,10.3
Kaiden Smith,43224,S,APP STATE,9,1,7.1,37.5,100.0,25.0,9.4,0,1,2,25.0,108,68.2,67.6,82.8,,62.4,61.6,0,12,10.0,1,2,2,45.8,3,81,81,3,8,8,0,22,11,0.3,7.3
Chase Pine,43225,LB,PITTSBURGH,11,0,,,75.9,,,0,1,1,,268,76.4,66.0,78.5,62.0,54.2,49.8,0,,50.0,3,1,0,0.0,0,88,116,2,3,0,0,0,0,0.0,
Gil Barksdale,43230,S,VANDERBILT,1,0,,,100.0,,,0,0,1,,333,62.3,58.2,75.5,,51.8,28.6,0,,100.0,1,0,0,0.0,0,15,15,0,0,0,0,0,0,0.0,
Lawrence Garner,43233,LB,DOMINION,12,2,1.8,82.1,88.1,9.4,7.7,0,0,2,5.1,263,63.2,59.8,30.1,63.5,58.0,59.9,0,22,24.3,9,2,2,106.3,32,317,360,18,26,39,1,291,259,1.0,9.1
Corey Hightower,43234,S,NEW MEXICO,1,0,8.0,100.0,100.0,2.0,2.0,0,0,0,0.0,241,43.6,39.4,67.3,,60.0,,0,2,,0,0,0,118.8,1,2,2,0,0,1,1,2,0,1.0,2.0
Andrew Wright,43235,ED,FRESNO ST,7,0,1.5,100.0,30.3,12.5,12.5,0,0,0,0.0,169,61.8,37.6,0.0,56.0,28.9,26.9,0,13,0.0,0,0,2,95.8,2,27,89,0,1,2,0,14,11,0.6,7.0
Walter Little,43236,LB,NAVY,6,1,0.0,100.0,71.4,45.0,45.0,0,0,0,0.0,237,68.9,63.2,81.8,77.4,48.7,29.0,0,5,0.0,0,0,0,87.5,1,45,63,2,2,1,0,5,5,0.1,5.0
Eric Monroe,43239,S,LSU,10,0,1.5,100.0,98.0,23.5,23.5,0,0,0,0.0,211,47.1,51.9,79.2,58.6,68.3,80.4,0,8,0.0,0,0,0,81.3,2,49,50,2,3,2,0,7,4,0.1,3.5
Chris Henderson,43249,ED,S ALABAMA,12,1,2.3,100.0,53.7,10.9,10.9,0,0,0,0.0,288,61.7,59.2,89.3,60.0,55.0,54.4,0,19,0.0,0,0,0,106.0,7,80,149,1,5,7,0,66,50,0.9,9.4
Joe Bachie,43250,LB,MICH STATE,8,8,3.6,89.5,83.6,14.0,12.5,0,0,3,15.8,223,74.0,79.9,84.9,65.7,79.1,67.7,1,23,11.5,3,3,0,89.7,17,254,304,8,15,19,1,125,66,0.5,7.4
C.J. Pollard,43251,S,USC,8,0,6.4,100.0,94.9,4.8,4.8,0,1,0,0.0,326,39.9,47.9,0.0,71.8,68.9,66.1,0,56,12.5,1,0,1,158.3,11,56,59,1,7,11,2,210,140,4.0,19.1
Cam Jones,43257,S,ARMY,4,1,5.9,57.1,100.0,14.3,8.1,0,0,1,7.1,114,51.6,58.5,82.9,,72.9,40.9,1,25,35.7,5,1,1,45.5,8,119,119,3,8,14,0,86,51,0.8,10.8
DeMarkus Glover,43258,LB,AKRON,9,0,4.7,70.0,85.3,12.6,8.8,0,0,1,10.0,102,62.5,55.5,77.3,52.9,51.5,70.0,1,18,0.0,0,1,0,78.3,7,93,109,0,6,10,1,58,37,0.7,8.3
Braxton Gunther,43264,S,UTAH ST,1,0,,,100.0,,,0,0,0,,329,65.4,65.7,73.3,,60.6,75.1,0,,0.0,0,0,0,0.0,0,8,8,0,1,0,0,0,0,0.0,
Simeon Smiley,43267,CB,PURDUE,12,3,7.7,64.9,96.8,13.1,8.5,0,1,6,16.2,273,72.0,71.5,89.0,72.8,64.2,51.6,1,72,24.1,7,5,2,110.8,24,330,341,8,19,37,4,265,176,0.8,11.0
Jeffrey McCulloch,43269,LB,TEXAS,10,1,5.1,93.8,70.7,9.5,8.9,0,0,1,6.3,311,58.5,57.3,42.7,59.8,56.8,69.5,0,44,25.0,3,1,1,110.4,15,147,208,4,8,16,0,168,100,1.2,11.2
Anthony Ekpe,43280,ED,RICE,8,0,6.0,100.0,20.6,10.7,10.7,1,0,0,0.0,275,53.3,67.6,57.8,70.1,68.6,59.1,0,14,20.0,1,0,1,109.7,3,33,160,3,4,3,0,31,13,1.0,10.3
Josh Perry,43283,CB,MEMPHIS,3,1,10.0,0.0,85.7,,12.0,0,0,0,0.0,218,66.8,60.8,73.9,58.0,50.1,28.4,0,,0.0,0,0,0,39.6,0,12,14,0,0,1,0,0,0,0.0,
Treyvon Reeves,43286,LB,TULSA,8,0,3.2,100.0,91.4,8.3,8.3,0,0,0,0.0,320,62.7,63.8,0.0,47.8,73.4,54.1,0,14,42.9,3,0,1,93.8,6,53,58,3,4,6,0,39,20,0.8,6.5
Donte Vaughn,43287,CB,NOTRE DAME,10,1,13.8,33.3,100.0,20.3,6.8,0,0,8,38.1,258,73.1,70.0,82.5,,53.5,67.8,0,38,11.1,1,4,1,85.6,7,151,151,0,7,21,2,121,34,0.9,17.3
Jamel Cook,43290,S,S CAROLINA,1,0,15.5,50.0,100.0,19.0,9.5,0,0,0,0.0,289,37.5,34.7,75.3,,49.5,27.7,0,6,0.0,0,0,0,56.3,1,19,19,0,1,2,0,6,6,0.3,6.0
Damar Hamlin,43291,CB,PITTSBURGH,12,5,9.3,53.5,99.6,11.5,6.2,0,1,13,18.3,268,65.4,67.1,0.0,72.4,76.4,66.8,1,45,14.3,9,11,8,65.8,38,465,467,11,49,71,0,425,207,1.0,11.2
Isaiah Stallings,43293,LB,NC STATE,2,0,4.0,100.0,100.0,11.0,11.0,0,0,0,0.0,248,65.9,68.5,76.0,,66.3,75.1,0,7,0.0,0,0,0,95.8,1,11,11,0,1,1,0,7,3,0.6,7.0
Sion Harrington,43296,LB,NAVY,3,0,2.0,100.0,75.0,9.0,9.0,0,0,0,0.0,237,71.9,73.6,73.4,65.1,67.7,70.6,0,2,33.3,1,0,0,79.2,1,9,12,1,2,1,0,2,0,0.2,2.0
Braden Smith,43298,S,WYOMING,9,2,6.8,66.7,96.6,22.5,15.0,0,0,0,0.0,351,52.6,53.6,83.9,54.9,58.7,40.3,1,75,30.0,3,0,0,109.7,6,140,145,0,5,9,2,187,148,1.4,31.2
