season,player_id,player_name,team_id,team_name,conference,position,games,snaps,routes,targets,receptions,rec_yards,yds_per_reception,rec_td,drops,fumbles,air_yards,yac,tgt_per_route,adot,yards_per_route_run,targets_per_game,catch_pct,drop_rate,yds_per_target,tds_per_target,yac_per_rec,air_yards_share,target_share,epa_total_recv,epa_per_target,ppa_total_recv,ppa_per_target,success_rate,explosive_rec_rate,slot_rate,wide_rate,inline_te_rate,man_tgt_rate,zone_tgt_rate,epa_vs_man,epa_vs_zone,separation_avg_yards,epa_per_target_deep,epa_per_target_short,cfbd_player_id,pff_player_game_count,pff_avg_depth_of_target,pff_avoided_tackles,pff_caught_percent,pff_contested_catch_rate,pff_contested_receptions,pff_contested_targets,pff_declined_penalties,pff_drop_rate,pff_drops,pff_first_downs,pff_franchise_id,pff_fumbles,pff_grades_hands_drop,pff_grades_hands_fumble,pff_grades_offense,pff_grades_pass_block,pff_grades_pass_route,pff_inline_rate,pff_inline_snaps,pff_interceptions,pff_longest,pff_pass_block_rate,pff_pass_blocks,pff_pass_plays,pff_penalties,pff_receptions,pff_route_rate,pff_routes,pff_slot_rate,pff_slot_snaps,pff_targeted_qb_rating,pff_targets,pff_touchdowns,pff_wide_rate,pff_wide_snaps,pff_yards,pff_yards_after_catch,pff_yards_after_catch_per_reception,pff_yards_per_reception,pff_yprr
2019,4367329,Isaac Brown,257,Richmond,CAA,WR,,,,2,1.0,5,5.0,0.0,,0.0,,,,,,,0.5,,2.5,0.0,,,,-0.1672536722894477,-0.0836268361447238,-0.572435972221581,-0.2862179861107905,0.5,0.0,,,,,,,,,,,4367329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4367416,Connor Whitney,70,Idaho,Big Sky,TE,,,,5,2.0,32,16.0,0.0,,0.0,,,,,,,0.4,,6.4,0.0,,,,0.0057267169854173,0.0011453433970834,-0.95852958421429,-0.191705916842858,0.4,0.2,,,,,,,,,,,4367416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4367417,Michael Noil,70,Idaho,Big Sky,DB,,,,1,1.0,9,9.0,0.0,,0.0,,,,,,,1.0,,9.0,0.0,,,,0.2166083580066811,0.2166083580066811,0.0063886196007106,0.0063886196007106,1.0,0.0,,,,,,,,,,,4367417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4367420,Aundre Carter,70,Idaho,Big Sky,RB,,,,3,2.0,22,11.0,0.0,,0.0,,,,,,,0.6666666666666666,,7.333333333333333,0.0,,,,2.3808783136391503,0.7936261045463834,2.564828131636749,0.854942710545583,0.6666666666666666,0.0,,,,,,,,,,,4367420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4367424,Logan Kendall,70,Idaho,Big Sky,TE,,,,1,1.0,1,1.0,1.0,,0.0,,,,,,,1.0,,1.0,1.0,,,,2.035726716985417,2.035726716985417,0.938021275120443,0.938021275120443,1.0,0.0,,,,,,,,,,,4367424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4367427,Jed Byers,70,Idaho,Big Sky,WR,,,,1,1.0,4,4.0,0.0,,0.0,,,,,,,1.0,,4.0,0.0,,,,-0.0132133886312488,-0.0132133886312488,-0.164885924534385,-0.164885924534385,0.0,0.0,,,,,,,,,,,4367427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4367449,Brandon Sanders,2083,Bucknell,Patriot,WR,,,,14,9.0,115,12.77777777777778,0.0,,0.0,,,,,,,0.6428571428571429,,8.214285714285714,0.0,,,,6.356368856244362,0.4540263468745973,7.284326723276372,0.520309051662598,0.5,0.0714285714285714,,,,,,,,,,,4367449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4367451,Dominic Lyles,2083,Bucknell,Patriot,WR,,,,5,3.0,27,9.0,0.0,,0.0,,,,,,,0.6,,5.4,0.0,,,,2.5921427017946166,0.5184285403589233,2.824012211337072,0.5648024422674143,0.6,0.0,,,,,,,,,,,4367451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4367455,Jared Cooper,2083,Bucknell,Patriot,RB,,,,4,2.0,13,6.5,0.0,,0.0,,,,,,,0.5,,3.25,0.0,,,,-0.7720878867387198,-0.1930219716846799,-0.8804186756143412,-0.2201046689035853,0.25,0.0,,,,,,,,,,,4367455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4367494,Garrett Oakey,2142,Colgate,Patriot,WR,,,,1,1.0,17,17.0,0.0,,0.0,,,,,,,1.0,,17.0,0.0,,,,1.6033916419933192,1.6033916419933192,2.1724336569123093,2.1724336569123093,1.0,0.0,,,,,,,,,,,4367494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4367495,Mike Bevino,2142,Colgate,Patriot,TE,,,,1,1.0,4,4.0,0.0,,0.0,,,,,,,1.0,,4.0,0.0,,,,-0.0132133886312484,-0.0132133886312484,-0.019365161227934,-0.019365161227934,0.0,0.0,,,,,,,,,,,4367495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4367722,A'jae Boyd,47,Howard,MEAC,WR,,,,6,2.0,12,6.0,0.0,,0.0,,,,,,,0.3333333333333333,,2.0,0.0,,,,-2.71869126022466,-0.4531152100374433,-1.425816840419902,-0.2376361400699836,0.1666666666666666,0.0,,,,,,,,,,,4367722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4367725,Khalid Dorsey,47,Howard,MEAC,RB,,,,1,1.0,26,26.0,0.0,,0.0,,,,,,,1.0,,26.0,0.0,,,,3.039396374084064,3.039396374084064,3.347544233026854,3.347544233026854,1.0,1.0,,,,,,,,,,,4367725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4367726,Malik Hyatt,47,Howard,MEAC,TE,,,,1,1.0,8,8.0,0.0,,0.0,,,,,,,1.0,,8.0,0.0,,,,1.0293546857172342,1.0293546857172342,0.1678319376893373,0.1678319376893373,1.0,0.0,,,,,,,,,,,4367726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4367729,Josiah Crute,47,Howard,MEAC,RB,,,,1,1.0,-5,-5.0,0.0,,0.0,,,,,,,1.0,,-5.0,0.0,,,,-1.779837194594697,-1.779837194594697,-0.9437535554809822,-0.9437535554809822,0.0,0.0,,,,,,,,,,,4367729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4367746,Justin Olibrice,47,Howard,MEAC,WR,,,,1,1.0,14,14.0,0.0,,0.0,,,,,,,1.0,,14.0,0.0,,,,2.5303486761968497,2.5303486761968497,1.0053961762013826,1.0053961762013826,1.0,0.0,,,,,,,,,,,4367746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4367786,William Robinson,2261,Hampton,Big South,RB,,,,1,1.0,5,5.0,0.0,,0.0,,,,,,,1.0,,5.0,0.0,,,,0.0149185972973491,0.0149185972973491,0.020567255794166,0.020567255794166,1.0,0.0,,,,,,,,,,,4367786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4367792,Naim Mayfield,2230,Fordham,Patriot,RB,,,,1,0.0,0,,0.0,,0.0,,,,,,,0.0,,0.0,0.0,,,,-0.7000000000000002,-0.7000000000000002,-0.9483272737564584,-0.9483272737564584,0.0,0.0,,,,,,,,,,,4367792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4368064,Spencer Gilliam,107,Holy Cross,Patriot,WR,,,,8,3.0,42,14.0,0.0,,0.0,,,,,,,0.375,,5.25,0.0,,,,0.0303798843746974,0.0037974855468371,1.143716615616174,0.1429645769520217,0.375,0.0,,,,,,,,,,,4368064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4368068,Jack Jewell,107,Holy Cross,Patriot,WR,,,,4,1.0,18,18.0,0.0,,0.0,,,,,,,0.25,,4.5,0.0,,,,-2.038061791977517,-0.5095154479943793,-2.320063317954376,-0.580015829488594,0.25,0.0,,,,,,,,,,,4368068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4368146,Daijon Collins,282,Indiana State,MVFC,WR,,,,1,1.0,1,1.0,0.0,,0.0,,,,,,,1.0,,1.0,0.0,,,,-0.491264388155467,-0.491264388155467,-0.1694664446660523,-0.1694664446660523,0.0,0.0,,,,,,,,,,,4368146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4368162,Henry Woodcock,282,Indiana State,MVFC,TE,,,,1,1.0,2,2.0,0.0,,0.0,,,,,,,1.0,,2.0,0.0,,,,-0.1002569386106082,-0.1002569386106082,-0.3048721715349295,-0.3048721715349295,0.0,0.0,,,,,,,,,,,4368162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4368163,Dakota Caton,282,Indiana State,MVFC,WR,,,,3,2.0,11,5.5,0.0,,0.0,,,,,,,0.6666666666666666,,3.6666666666666665,0.0,,,,0.6842208381761083,0.2280736127253694,1.1859266615337294,0.3953088871779098,0.6666666666666666,0.0,,,,,,,,,,,4368163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4368174,Damoriea Vick,2623,Missouri State,MVFC,WR,,,,1,1.0,6,6.0,0.0,,0.0,,,,,,,1.0,,6.0,0.0,,,,0.9676649250079016,0.9676649250079016,0.272733551995068,0.272733551995068,1.0,0.0,,,,,,,,,,,4368174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4368183,Donovan Daniels,2623,Missouri State,MVFC,RB,,,,2,2.0,46,23.0,0.0,,0.0,,,,,,,1.0,,23.0,0.0,,,,4.852788016077383,2.426394008038692,4.3775359960151885,2.1887679980075943,1.0,0.5,,,,,,,,,,,4368183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4368188,Mauricio Chio,2623,Missouri State,MVFC,WR,,,,1,1.0,1,1.0,0.0,,0.0,,,,,,,1.0,,1.0,0.0,,,,-0.551689760709333,-0.551689760709333,-0.4876188659469855,-0.4876188659469855,0.0,0.0,,,,,,,,,,,4368188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4368285,J'Bore Gibbs,2571,South Dakota State,MVFC,QB,,,,1,1.0,13,13.0,1.0,,0.0,,,,,,,1.0,,13.0,1.0,,,,4.41,4.41,2.538929215045847,2.538929215045847,1.0,0.0,,,,,,,,,,,4368285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4368290,Jaxon Janke,2571,South Dakota State,MVFC,WR,,,,2,2.0,20,10.0,0.0,,0.0,,,,,,,1.0,,10.0,0.0,,,,2.2342732830145824,1.1171366415072912,1.7288658833868915,0.8644329416934459,1.0,0.0,,,,,,,,,,,4368290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4368300,Blake Kunz,2571,South Dakota State,MVFC,WR,,,,1,1.0,3,3.0,0.0,,0.0,,,,,,,1.0,,3.0,0.0,,,,-0.2033916419933186,-0.2033916419933186,-0.2957674139440157,-0.2957674139440157,0.0,0.0,,,,,,,,,,,4368300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
