player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Chinedu Udeogu,38507,ED,CAL,2,0,0,130,59.2,0,0,1,50.0,0.0,0,0,0.0,0,2,1,0,0,59.2,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Gunnar Roberge,38511,DI,WISCONSIN,5,0,0,349,55.4,0,0,17,100.0,0.0,0,0,0.0,0,20,20,0,0,55.8,0,0,7,100.0,0.0,0,0.0,0,9,9,0
Samiuela Akoteu,38518,ED,HAWAII,11,0,0,180,53.5,1,4,103,100.0,2.9,3,0,2.4,0,106,106,5,0,55.6,1,4,28,100.0,3.6,1,8.9,0,31,31,5
Tevin Paul,38523,ED,CAL,11,0,2,130,56.9,1,11,251,78.5,6.4,16,4,3.6,3,335,263,15,0,58.2,1,5,102,80.8,10.8,11,3.9,1,130,105,7
Zach Wilson,38530,S,HAWAII,5,0,0,180,59.9,0,0,1,4.0,0.0,0,0,0.0,0,25,1,0,0,,0,0,0,0.0,,0,,0,10,0,0
Evan Weaver,38534,LB,CAL,13,1,0,130,71.6,9,16,82,15.4,13.4,11,4,18.9,3,560,86,28,1,75.5,5,8,49,23.6,14.3,7,19.4,3,220,52,16
Kaimana Padello,38636,ED,HAWAII,10,1,0,180,81.9,3,26,201,61.9,16.4,33,1,9.2,4,349,216,33,0,73.0,2,8,65,84.7,18.5,12,9.2,1,85,72,11
Ikem Okeke,38639,S,HAWAII,14,0,0,180,74.6,0,0,0,0.3,,0,0,,1,290,1,1,0,,0,0,0,0.0,,0,,0,86,0,0
Manly Williams,38651,ED,HAWAII,14,0,0,180,54.1,0,6,156,96.5,4.5,7,0,1.9,0,171,165,6,0,59.1,0,2,37,100.0,10.8,4,2.7,0,40,40,2
Finton Connolly,38791,DI,ARIZONA,12,0,1,109,63.3,1,9,183,100.0,4.9,9,2,4.4,3,190,190,13,0,68.3,0,5,42,100.0,11.9,5,6.0,0,46,46,5
Chapelle Russell,38876,LB,TEMPLE,13,0,0,306,66.9,3,6,36,10.0,5.6,2,1,15.3,1,421,42,10,0,69.7,0,3,9,7.8,11.1,1,27.8,1,141,11,4
Stephen Griffin,38877,CB,NC STATE,12,0,0,248,57.2,1,2,23,11.5,0.0,0,1,10.9,1,209,24,4,0,53.0,0,0,5,26.1,0.0,0,0.0,0,23,6,0
Sterling Johnson,38905,DI,COAST CAR,11,1,0,141,78.8,6,22,241,89.8,11.6,28,1,7.9,5,285,256,33,0,72.8,1,13,67,98.6,14.9,10,13.4,2,73,72,16
Tyriq Thompson,38942,LB,MICH STATE,13,0,0,223,57.7,2,8,69,20.8,7.2,5,0,8.7,1,346,72,11,0,60.0,0,2,14,16.1,14.3,2,7.1,0,87,14,2
Johnathan Durham,38983,CB,KANSAS ST,9,0,0,199,56.1,0,0,4,4.8,0.0,0,0,0.0,0,84,4,0,0,59.5,0,0,1,2.7,0.0,0,0.0,0,37,1,0
Anthony Bennett,38986,ED,FAU,8,0,0,165,61.1,2,3,26,75.0,11.5,3,0,9.6,0,36,27,5,0,63.4,1,3,11,84.6,18.2,2,18.2,0,13,11,4
Elijah Sullivan,39006,LB,KANSAS ST,13,0,0,199,53.1,4,4,37,11.9,0.0,0,3,13.5,1,312,37,9,0,54.4,3,1,13,11.0,0.0,0,15.4,0,118,13,4
Garrett Marino,39015,DI,UAB,14,5,0,321,90.6,9,29,344,100.0,12.2,42,8,7.8,8,370,370,46,1,91.6,3,18,95,100.0,21.1,20,14.2,3,101,101,24
Marcus Kelly,39055,ED,N ILLINOIS,12,0,0,254,52.5,0,5,117,100.0,3.4,4,0,3.0,1,124,124,6,0,47.3,0,1,28,100.0,0.0,0,1.8,0,30,30,1
Marques Jones,39188,WR,BAYLOR,1,0,0,118,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
